variant,quarter,selection_rank,ticker,rm_signal_bucket,rm_flags_active,hp_signal_bucket,entry_score_0_100,hc_score,market_repricing_score,repricing_momentum_priority,risk_penalty_score,return_90d_pct,winner_90d_30pct,loser_90d_minus30pct,bucket_pick_count,bucket_avg_return_90d_pct,bucket_winner_30_rate,bucket_loser_minus30_rate,primary_theme
high_conviction_top10_v2_final,2021Q4,2,KLXE,1,rm_buy_review_flag,0,81,81.000000,0,,3,157.5581,True,False,36,45.69318888888889,0.5833333333333334,0.027777777777777776,
high_conviction_top10_v2_final,2023Q1,3,ARLO,1,rm_buy_review_flag,0,84,84.000000,0,,2,133.9759,True,False,36,45.69318888888889,0.5833333333333334,0.027777777777777776,
high_conviction_top10_v2_final,2022Q4,10,MEC,1,rm_buy_review_flag,0,79,79.000000,0,,0,108.3333,True,False,36,45.69318888888889,0.5833333333333334,0.027777777777777776,
high_conviction_top10_v2_final,2025Q3,3,LITE,1,rm_buy_review_flag,2+,84,92.000000,10,,0,104.7607,True,False,36,45.69318888888889,0.5833333333333334,0.027777777777777776,
high_conviction_top10_v2_final,2023Q4,5,AAOI,1,rm_buy_review_flag,0,87,87.000000,5,,1,103.3369,True,False,36,45.69318888888889,0.5833333333333334,0.027777777777777776,datacenter optical network transition
high_conviction_top10_v2_final,2024Q3,2,AAOI,1,rm_buy_review_flag,0,89,89.000000,5,,0,99.2771,True,False,36,45.69318888888889,0.5833333333333334,0.027777777777777776,hyperscale 400G optical ramp
high_conviction_top10_v2_final,2023Q4,4,POWL,1,rm_buy_review_flag,2+,81,89.000000,6,,0,83.6631,True,False,36,45.69318888888889,0.5833333333333334,0.027777777777777776,
high_conviction_top10_v2_final,2025Q4,2,MU,1,rm_buy_review_flag,2+,90,104.000000,15,,4,79.9906,True,False,36,45.69318888888889,0.5833333333333334,0.027777777777777776,AI memory and storage acceleration
high_conviction_top10_v2_final,2025Q4,5,WDC,1,rm_buy_review_flag,2+,81,95.000000,14,,4,79.0418,True,False,36,45.69318888888889,0.5833333333333334,0.027777777777777776,
high_conviction_top10_v2_final,2025Q1,9,ORN,1,rm_buy_review_flag,0,85,85.000000,0,,1,65.1837,True,False,36,45.69318888888889,0.5833333333333334,0.027777777777777776,
high_conviction_top10_v2_final,2023Q4,3,ANF,1,rm_buy_review_flag,2+,81,89.000000,6,,0,65.0374,True,False,36,45.69318888888889,0.5833333333333334,0.027777777777777776,
high_conviction_top10_v2_final,2025Q2,1,AAOI,1,rm_buy_review_flag,0,96,96.000000,5,,0,63.3504,True,False,36,45.69318888888889,0.5833333333333334,0.027777777777777776,800G and CATV demand ramp
high_conviction_top10_v2_final,2024Q3,3,CTLP,1,rm_buy_review_flag,0,85,85.000000,0,,1,59.7316,True,False,36,45.69318888888889,0.5833333333333334,0.027777777777777776,
high_conviction_top10_v2_final,2022Q1,10,KOS,1,rm_buy_review_flag,0,79,79.000000,0,,2,56.6802,True,False,36,45.69318888888889,0.5833333333333334,0.027777777777777776,
high_conviction_top10_v2_final,2023Q4,10,AIOT,1,rm_buy_review_flag,0,84,84.000000,0,,2,56.2500,True,False,36,45.69318888888889,0.5833333333333334,0.027777777777777776,
high_conviction_top10_v2_final,2025Q3,10,REAL,1,rm_buy_review_flag,0,86,86.000000,0,,0,53.4752,True,False,36,45.69318888888889,0.5833333333333334,0.027777777777777776,
high_conviction_top10_v2_final,2023Q2,6,SMHI,1,rm_buy_review_flag,0,82,82.000000,0,,0,47.9218,True,False,36,45.69318888888889,0.5833333333333334,0.027777777777777776,
high_conviction_top10_v2_final,2023Q2,5,NPKI,1,rm_buy_review_flag,0,82,82.000000,0,,2,43.5567,True,False,36,45.69318888888889,0.5833333333333334,0.027777777777777776,
high_conviction_top10_v2_final,2023Q2,9,GRBK,1,rm_buy_review_flag,2+,72,80.000000,6,,1,38.498,True,False,36,45.69318888888889,0.5833333333333334,0.027777777777777776,
