quarter,artifact,row_count,source_path
2022Q2,blocking_errors.csv,0,tradingagents/research/fundamental/runs/2022-06-30/2022Q2/walkforward_pit_v2_fix2/complete_panel/reconciliation_audit/blocking_errors.csv
2022Q2,warnings.csv,0,tradingagents/research/fundamental/runs/2022-06-30/2022Q2/walkforward_pit_v2_fix2/complete_panel/reconciliation_audit/warnings.csv
2022Q3,blocking_errors.csv,0,tradingagents/research/fundamental/runs/2022-09-30/2022Q3/walkforward_pit_v2_periodfix_20260519/complete_panel/reconciliation_audit/blocking_errors.csv
2022Q3,warnings.csv,0,tradingagents/research/fundamental/runs/2022-09-30/2022Q3/walkforward_pit_v2_periodfix_20260519/complete_panel/reconciliation_audit/warnings.csv
2022Q4,blocking_errors.csv,0,tradingagents/research/fundamental/runs/2022-12-31/2022Q4/walkforward_pit_v2_periodfix_20260519/complete_panel/reconciliation_audit/blocking_errors.csv
2022Q4,warnings.csv,0,tradingagents/research/fundamental/runs/2022-12-31/2022Q4/walkforward_pit_v2_periodfix_20260519/complete_panel/reconciliation_audit/warnings.csv
2023Q1,blocking_errors.csv,0,tradingagents/research/fundamental/runs/2023-03-31/2023Q1/walkforward_pit_v2_periodfix_20260519/complete_panel/reconciliation_audit/blocking_errors.csv
2023Q1,warnings.csv,0,tradingagents/research/fundamental/runs/2023-03-31/2023Q1/walkforward_pit_v2_periodfix_20260519/complete_panel/reconciliation_audit/warnings.csv
2023Q2,blocking_errors.csv,0,tradingagents/research/fundamental/runs/2023-06-30/2023Q2/walkforward_pit_v2_periodfix_20260519/complete_panel/reconciliation_audit/blocking_errors.csv
2023Q2,warnings.csv,0,tradingagents/research/fundamental/runs/2023-06-30/2023Q2/walkforward_pit_v2_periodfix_20260519/complete_panel/reconciliation_audit/warnings.csv
2023Q3,blocking_errors.csv,0,tradingagents/research/fundamental/runs/2023-09-30/2023Q3/walkforward_pit_v2_periodfix_20260519/complete_panel/reconciliation_audit/blocking_errors.csv
2023Q3,warnings.csv,0,tradingagents/research/fundamental/runs/2023-09-30/2023Q3/walkforward_pit_v2_periodfix_20260519/complete_panel/reconciliation_audit/warnings.csv
2023Q4,blocking_errors.csv,0,tradingagents/research/fundamental/runs/2023-12-31/2023Q4/walkforward_pit_v2_periodfix_20260519/complete_panel/reconciliation_audit/blocking_errors.csv
2023Q4,warnings.csv,0,tradingagents/research/fundamental/runs/2023-12-31/2023Q4/walkforward_pit_v2_periodfix_20260519/complete_panel/reconciliation_audit/warnings.csv
2024Q1,blocking_errors.csv,0,tradingagents/research/fundamental/runs/2024-03-31/2024Q1/walkforward_pit_v2_periodfix_20260519/complete_panel/reconciliation_audit/blocking_errors.csv
2024Q1,warnings.csv,0,tradingagents/research/fundamental/runs/2024-03-31/2024Q1/walkforward_pit_v2_periodfix_20260519/complete_panel/reconciliation_audit/warnings.csv
2024Q2,blocking_errors.csv,0,tradingagents/research/fundamental/runs/2024-06-30/2024Q2/walkforward_pit_v2_periodfix_20260519/complete_panel/reconciliation_audit/blocking_errors.csv
2024Q2,warnings.csv,0,tradingagents/research/fundamental/runs/2024-06-30/2024Q2/walkforward_pit_v2_periodfix_20260519/complete_panel/reconciliation_audit/warnings.csv
2024Q3,blocking_errors.csv,0,tradingagents/research/fundamental/runs/2024-09-30/2024Q3/walkforward_pit_v2_periodfix_20260519/complete_panel/reconciliation_audit/blocking_errors.csv
2024Q3,warnings.csv,0,tradingagents/research/fundamental/runs/2024-09-30/2024Q3/walkforward_pit_v2_periodfix_20260519/complete_panel/reconciliation_audit/warnings.csv
2024Q4,blocking_errors.csv,0,tradingagents/research/fundamental/runs/2024-12-31/2024Q4/walkforward_pit_v2_periodfix_20260519/complete_panel/reconciliation_audit/blocking_errors.csv
2024Q4,warnings.csv,0,tradingagents/research/fundamental/runs/2024-12-31/2024Q4/walkforward_pit_v2_periodfix_20260519/complete_panel/reconciliation_audit/warnings.csv
2025Q1,blocking_errors.csv,0,tradingagents/research/fundamental/runs/2025-03-31/2025Q1/walkforward_pit_v2_periodfix_20260519/complete_panel/reconciliation_audit/blocking_errors.csv
2025Q1,warnings.csv,0,tradingagents/research/fundamental/runs/2025-03-31/2025Q1/walkforward_pit_v2_periodfix_20260519/complete_panel/reconciliation_audit/warnings.csv
2025Q2,blocking_errors.csv,0,tradingagents/research/fundamental/runs/2025-06-30/2025Q2/walkforward_pit_v2_periodfix_20260519/complete_panel/reconciliation_audit/blocking_errors.csv
2025Q2,warnings.csv,0,tradingagents/research/fundamental/runs/2025-06-30/2025Q2/walkforward_pit_v2_periodfix_20260519/complete_panel/reconciliation_audit/warnings.csv
2025Q3,blocking_errors.csv,0,tradingagents/research/fundamental/runs/2025-09-30/2025Q3/walkforward_pit_v2_periodfix_20260519/complete_panel/reconciliation_audit/blocking_errors.csv
2025Q3,warnings.csv,0,tradingagents/research/fundamental/runs/2025-09-30/2025Q3/walkforward_pit_v2_periodfix_20260519/complete_panel/reconciliation_audit/warnings.csv
2025Q4,blocking_errors.csv,0,tradingagents/research/fundamental/runs/2025-12-31/2025Q4/walkforward_pit_v2_periodfix_20260519/complete_panel/reconciliation_audit/blocking_errors.csv
2025Q4,warnings.csv,0,tradingagents/research/fundamental/runs/2025-12-31/2025Q4/walkforward_pit_v2_periodfix_20260519/complete_panel/reconciliation_audit/warnings.csv
2026Q1,blocking_errors.csv,0,tradingagents/research/fundamental/runs/2026-03-31/2026Q1/walkforward_pit_v2_periodfix_20260519/complete_panel/reconciliation_audit/blocking_errors.csv
2026Q1,warnings.csv,0,tradingagents/research/fundamental/runs/2026-03-31/2026Q1/walkforward_pit_v2_periodfix_20260519/complete_panel/reconciliation_audit/warnings.csv
2026Q2,blocking_errors.csv,0,tradingagents/research/fundamental/runs/2026-05-15/2026Q2/walkforward_pit_v2_periodfix_20260519/complete_panel/reconciliation_audit/blocking_errors.csv
2026Q2,warnings.csv,0,tradingagents/research/fundamental/runs/2026-05-15/2026Q2/walkforward_pit_v2_periodfix_20260519/complete_panel/reconciliation_audit/warnings.csv
