quarter,ticker,cik,metadata_status,item_202_8k_count,item_202_event_dates,item_202_accessions,primary_8k_docs,earnings_exhibit_docs,earnings_exhibit_doc_count,latest_periodic_form,latest_periodic_filing_date,latest_periodic_accession,latest_periodic_doc,primary_8k_cached_count,earnings_exhibit_cached_count,periodic_cached,ready_for_earnings_extraction,ready_for_periodic_extraction,quality_fail_reasons,audit_reasons,elapsed_seconds
2024Q2,A,1090872,ok,1,2024-05-29,0001090872-24-000017,a-20240529.htm,exhibit991-q224pressrelease.htm,1,10-Q,2024-06-03,0001090872-24-000021,a-20240430.htm,1,1,True,True,True,,ready,2.30
2024Q2,AAP,1158449,ok,2,2024-05-29;2024-05-29,0001158449-24-000124;0001158449-24-000120,aap-20240529.htm;aap-20240529.htm,aap_exhibit991xq1x20241.htm;aap_exhibit991xq1x2024.htm,2,10-Q,2024-05-30,0001158449-24-000132,aap-20240420.htm,2,2,True,True,True,,ready,3.75
2024Q2,AAT,1500217,ok,1,2024-04-30,0001500217-24-000024,aat-20240430.htm,a1q24earningsreleaseng.htm,1,10-Q,2024-05-03,0001500217-24-000027,aat-20240331.htm,1,1,True,True,True,,ready,2.01
2024Q2,ABG,1144980,ok,1,2024-04-25,0001144980-24-000109,abg-20240425.htm,a2024q1ex991.htm,1,10-Q,2024-04-26,0001144980-24-000112,abg-20240331.htm,1,1,True,True,True,,ready,2.32
2024Q2,ABM,771497,ok,1,2024-06-06,0000950170-24-069662,abm-20240307.htm,abm-ex99_1.htm,1,10-Q,2024-06-06,0000771497-24-000013,abm-20240430.htm,1,1,True,True,True,,ready,2.33
2024Q2,ABNB,1559720,ok,1,2024-05-08,0001193125-24-134183,d813800d8k.htm,d813800dex991.htm,1,10-Q,2024-05-08,0001559720-24-000017,abnb-20240331.htm,1,1,True,True,True,,ready,2.41
2024Q2,ACA,1739445,ok,1,2024-05-02,0001739445-24-000065,aca-20240502.htm,exh991earningsrelease33120.htm,1,10-Q,2024-05-03,0001739445-24-000067,aca-20240331.htm,1,1,True,True,True,,ready,2.56
2024Q2,ACAD,1070494,ok,1,2024-05-08,0000950170-24-055647,acad-20240508.htm,acad-ex99_1.htm,1,10-Q,2024-05-09,0000950170-24-056077,acad-20240331.htm,1,1,True,True,True,,ready,2.12
2024Q2,ACCO,712034,ok,1,2024-05-02,0000950170-24-052132,acco-20240502.htm,acco-ex99_1.htm,1,10-Q,2024-05-03,0000950170-24-052651,acco-20240331.htm,1,1,True,True,True,,ready,2.93
2024Q2,ACDC,0001881487,ok,1,2024-05-09,0001104659-24-059009,tm2413911d1_8k.htm,tm2413911d1_ex99-1.htm,1,10-Q,2024-05-10,0000950170-24-057774,acdc-20240331.htm,1,1,True,True,True,,ready,2.52
2024Q2,ACGL,947484,ok,1,2024-04-29,0000947484-24-000060,acgl-20240429.htm,ex-991release33124.htm;ex-992supplement33124.htm,2,10-Q,2024-05-09,0000947484-24-000073,acgl-20240331.htm,1,2,True,True,True,,ready,3.33
2024Q2,ACH,75252,ok,1,2024-05-03,0001558370-24-006589,tmb-20240503x8k.htm,tmb-20240503xex99d1.htm;tmb-20240503xex99d2.htm,2,10-Q,2024-05-03,0001558370-24-006648,tmb-20240331x10q.htm,1,2,True,True,True,,ready,2.36
2024Q2,ACIW,935036,ok,1,2024-04-30,0000935036-24-000016,aciw-20240430.htm,aciw-20240430ex_991.htm;aciw-20240430_ex992.htm,2,10-Q,2024-04-30,0000935036-24-000018,aciw-20240331.htm,1,2,True,True,True,,ready,2.45
2024Q2,ACLS,1113232,ok,1,2024-05-01,0001104659-24-055735,tm2413124d1_8k.htm,tm2413124d1_ex99-1.htm,1,10-Q,2024-05-02,0001558370-24-006510,acls-20240331x10q.htm,1,1,True,True,True,,ready,2.28
2024Q2,ACT,1823529,ok,1,2024-05-01,0001823529-24-000101,act-20240501.htm,a1q24earningsrelease.htm,1,10-Q,2024-05-03,0001823529-24-000105,act-20240331.htm,1,1,True,True,True,,ready,1.75
2024Q2,ACVA,1637873,ok,1,2024-05-08,0001628280-24-021682,acva-20240508.htm,q1-24earningspressrelease.htm,1,10-Q,2024-05-08,0001628280-24-021768,acva-20240331.htm,1,1,True,True,True,,ready,2.36
2024Q2,ADBE,796343,ok,1,2024-06-13,0000796343-24-000140,adbe-20240613.htm,adbeex991q224.htm,1,10-Q,2024-06-26,0000796343-24-000150,adbe-20240531.htm,1,1,True,True,True,,ready,2.90
2024Q2,ADEA,1803696,ok,1,2024-05-06,0000950170-24-053530,adea-20240506.htm,adea-ex99_1.htm,1,10-Q,2024-05-08,0000950170-24-055618,adea-20240331.htm,1,1,True,True,True,,ready,2.64
2024Q2,ADI,6281,ok,1,2024-05-22,0000006281-24-000130,adi-20240522.htm,adi2q24exhibit991earnings.htm,1,10-Q,2024-05-22,0000006281-24-000132,adi-20240504.htm,1,1,True,True,True,,ready,2.28
2024Q2,ADNT,1670541,ok,1,2024-05-03,0001670541-24-000070,adnt-20240503.htm,a05032024adientform8-kex991.htm,1,10-Q,2024-05-03,0001670541-24-000072,adnt-20240331.htm,1,1,True,True,True,,ready,1.85
2024Q2,ADSK,769397,ok,2,2024-06-03;2024-06-11,0001213900-24-049057;0000769397-24-000095,ea020725401-8k_autodesk.htm;adsk-20240611.htm,ea020725401ex99-1_autodesk.htm;q125pressrelease.htm,2,10-K,2024-06-10,0000769397-24-000090,adsk-20240131.htm,2,2,True,True,True,,ready,3.38
2024Q2,ADTN,926282,ok,2,2024-05-03;2024-05-07,0001193125-24-130896;0000950170-24-053920,d835183d8k.htm;adtn-20240506.htm,d835183dex991.htm;adtn-ex99_1.htm;adtn-ex99_2.htm,3,10-Q,2024-05-10,0000950170-24-057628,adtn-20240331.htm,2,3,True,True,True,,ready,3.42
2024Q2,ADUS,1468328,ok,1,2024-05-06,0001193125-24-132042,d708686d8k.htm,d708686dex991.htm,1,10-Q,2024-05-07,0000950170-24-054603,adus-20240331.htm,1,1,True,True,True,,ready,1.67
2024Q2,ADV,1776661,ok,1,2024-05-09,0000950170-24-056245,adv-20240509.htm,adv-ex99_1.htm;adv-ex99_2.htm,2,10-Q,2024-05-10,0000950170-24-057869,adv-20240331.htm,1,2,True,True,True,,ready,2.64
2024Q2,AEE,1002910,ok,1,2024-05-02,0001002910-24-000087,aee-20240502.htm,q12024ex991earningsrelease.htm;q12024ex992earningsrelease.htm,2,10-Q,2024-05-06,0001002910-24-000090,aee-20240331.htm,1,2,True,True,True,,ready,2.82
2024Q2,AEIS,927003,ok,1,2024-05-01,0000927003-24-000006,aeis-20240501x8k.htm,aeis-20240501xex99d1.htm,1,10-Q,2024-05-01,0001558370-24-006384,aeis-20240331x10q.htm,1,1,True,True,True,,ready,2.22
2024Q2,AEO,919012,ok,1,2024-05-29,0000950170-24-065962,aeo-20240529.htm,aeo-ex99_1.htm,1,10-Q,2024-05-30,0000950170-24-066610,aeo-20240504.htm,1,1,True,True,True,,ready,2.22
2024Q2,AEP,4904,ok,1,2024-04-30,0000004904-24-000045,aep-20240430.htm,a1q20248kpressreleaseex991.htm,1,10-Q,2024-04-30,0000004904-24-000046,aep-20240331.htm,1,1,True,True,True,,ready,3.24
2024Q2,AES,874761,ok,1,2024-05-02,0000874761-24-000039,aes-20240502.htm,q12024earningsreleaseexs.htm,1,10-Q,2024-05-02,0000874761-24-000038,aes-20240331.htm,1,1,True,True,True,,ready,2.11
2024Q2,AESI,0001984060,ok,1,2024-05-06,0000950170-24-053224,aesi-20240506.htm,aesi-ex99_1.htm,1,10-Q,2024-05-08,0000950170-24-055827,aesi-20240331.htm,1,1,True,True,True,,ready,2.08
2024Q2,AFL,4977,ok,1,2024-05-01,0000004977-24-000082,afl-20240501.htm,aflex991-q12024.htm;aflex993teleconferencespee.htm,2,10-Q,2024-05-02,0000004977-24-000086,afl-20240331.htm,1,2,True,True,True,,ready,3.43
2024Q2,AFRM,1820953,ok,1,2024-05-08,0001820953-24-000012,afrm-20240508.htm,afrm-q324shareholderlett.htm,1,10-Q,2024-05-08,0001820953-24-000014,afrm-20240331.htm,1,1,True,True,True,,ready,1.81
2024Q2,AGX,100591,ok,2,2024-04-11;2024-06-06,0001558370-24-004978;0001558370-24-008956,agx-20240411x8k.htm;agx-20240606x8k.htm,agx-20240411xex99d1.htm;agx-20240606xex99d1.htm,2,10-Q,2024-06-06,0001558370-24-008969,agx-20240430x10q.htm,2,2,True,True,True,,ready,3.04
2024Q2,AGYS,78749,ok,1,2024-05-13,0000950170-24-058643,agys-20240513.htm,agys-ex99_1.htm,1,10-K,2024-05-22,0000950170-24-063222,agys-20240331.htm,1,1,True,True,True,,ready,2.16
2024Q2,AHCO,1725255,ok,1,2024-05-07,0001628280-24-020835,ahco-20240507.htm,ahco-20240507x8k_ex991.htm,1,10-Q,2024-05-07,0001628280-24-021191,ahco-20240331.htm,1,1,True,True,True,,ready,2.07
2024Q2,AHR,1632970,ok,1,2024-05-13,0001632970-24-000053,ahr-20240513.htm,exhibit9912024q1earningsre.htm;exhibit9922024q1suppleme.htm,2,10-Q,2024-05-14,0001632970-24-000057,gahr-20240331.htm,1,2,True,True,True,,ready,2.57
2024Q2,AHRT,1569187,ok,1,2024-05-09,0001569187-24-000070,ahh-20240509.htm,ahh2024q1ex991earningsrele.htm;ex992_q12024supplemental.htm,2,10-Q,2024-05-10,0001569187-24-000074,ahh-20240331.htm,1,2,True,True,True,,ready,2.58
2024Q2,AI,1577526,ok,1,2024-05-29,0001628280-24-025609,ai-20240529.htm,ex991-fy24xq4earnings.htm,1,10-K,2024-06-18,0001628280-24-028786,ai-20240430.htm,1,1,True,True,True,,ready,1.81
2024Q2,AIOT,1774170,ok,0,,,,,0,10-K,2024-05-09,0001493152-24-018526,form10-k.htm,0,0,True,False,True,,missing_8k_item_202;earnings_docs_not_ready,2.16
2024Q2,AJG,354190,ok,1,2024-04-25,0001193125-24-113968,d828567d8k.htm,d828567dex991.htm,1,10-Q,2024-05-01,0000950170-24-050950,ajg-20240331.htm,1,1,True,True,True,,ready,3.37
2024Q2,AKAM,1086222,ok,1,2024-05-09,0001086222-24-000146,akam-20240509.htm,exhibit991-q12024.htm,1,10-Q,2024-05-09,0001086222-24-000148,akam-20240331.htm,1,1,True,True,True,,ready,1.79
2024Q2,ALB,915913,ok,1,2024-05-01,0000915913-24-000098,alb-20240501.htm,a1q24earningsreleaseex991.htm,1,10-Q,2024-05-01,0000915913-24-000100,alb-20240331.htm,1,1,True,True,True,,ready,1.69
2024Q2,ALG,897077,ok,1,2024-05-02,0000897077-24-000062,alg-20240502.htm,ex991q12024.htm,1,10-Q,2024-05-02,0000897077-24-000063,alg-20240331.htm,1,1,True,True,True,,ready,1.75
2024Q2,ALGM,866291,ok,1,2024-05-09,0000950170-24-056257,algm-20240509.htm,algm-ex99_1.htm,1,10-K,2024-05-23,0000950170-24-063770,algm-20240329.htm,1,1,True,True,True,,ready,3.01
2024Q2,ALGN,1097149,ok,1,2024-04-24,0001097149-24-000026,algn-20240422.htm,algn-q124earningspressrele.htm,1,10-Q,2024-05-03,0001097149-24-000033,algn-20240331.htm,1,1,True,True,True,,ready,2.13
2024Q2,ALGT,1362468,ok,1,2024-05-07,0001362468-24-000017,algt-20240507.htm,a2024q18-kex991.htm,1,10-Q,2024-05-09,0001362468-24-000021,algt-20240331.htm,1,1,True,True,True,,ready,1.85
2024Q2,ALKS,1520262,ok,1,2024-05-01,0000950170-24-050887,alks-20240501.htm,alks-ex99_1.htm;alks-ex99_2.htm,2,10-Q,2024-05-01,0000950170-24-051397,alks-20240331.htm,1,2,True,True,True,,ready,2.51
2024Q2,ALLE,1579241,ok,1,2024-04-25,0001579241-24-000032,alle-20240425.htm,exhibit991-pressreleasedat.htm,1,10-Q,2024-04-25,0001579241-24-000031,alle-20240331.htm,1,1,True,True,True,,ready,1.94
2024Q2,ALRM,1459200,ok,1,2024-05-09,0001459200-24-000015,alrm-20240509.htm,ex991earningsreleasemarch3.htm,1,10-Q,2024-05-10,0001459200-24-000016,alrm-20240331.htm,1,1,True,True,True,,ready,2.55
2024Q2,ALTG,1759824,ok,1,2024-05-08,0000950170-24-055697,altg-20240508.htm,altg-ex99_1.htm,1,10-Q,2024-05-08,0000950170-24-055802,altg-20240331.htm,1,1,True,True,True,,ready,2.37
2024Q2,AMC,1411579,ok,2,2024-04-26;2024-05-08,0001104659-24-053112;0001411579-24-000032,tm2412799d1_8k.htm;amc-20240508x8k.htm,tm2412799d1_ex99-1.htm;amc-20240508xex99d1.htm,2,10-Q,2024-05-08,0001411579-24-000034,amc-20240331x10q.htm,2,2,True,True,True,,ready,3.92
2024Q2,AMCX,1514991,ok,1,2024-05-10,0001514991-24-000016,amcx-20240510.htm,amcx-51024ex991.htm,1,10-Q,2024-05-10,0001514991-24-000019,amcx-20240331.htm,1,1,True,True,True,,ready,2.10
2024Q2,AMD,2488,ok,1,2024-04-30,0000002488-24-000054,amd-20240430.htm,amdq124earningsslides.htm,1,10-Q,2024-05-01,0000002488-24-000056,amd-20240330.htm,1,1,True,True,True,,ready,1.74
2024Q2,AME,1037868,ok,1,2024-05-02,0001037868-24-000028,ame-20240502.htm,ametek8kexhibit9915-2x24.htm,1,10-Q,2024-05-02,0001037868-24-000030,ame-20240331.htm,1,1,True,True,True,,ready,1.80
2024Q2,AMGN,318154,ok,1,2024-05-02,0000318154-24-000018,amgn-20240502.htm,amgn-20240331earningsrelea.htm,1,10-Q,2024-05-03,0000318154-24-000020,amgn-20240331.htm,1,1,True,True,True,,ready,2.20
2024Q2,AMKR,1047127,ok,1,2024-04-29,0001047127-24-000089,amkr-20240429.htm,amkr3312024erex-991.htm,1,10-Q,2024-05-01,0001047127-24-000094,amkr-20240331.htm,1,1,True,True,True,,ready,2.24
2024Q2,AMN,1142750,ok,1,2024-05-09,0000950142-24-001321,eh240479343_8k.htm,eh240479343_ex9901.htm,1,10-Q,2024-05-10,0001142750-24-000040,amn-20240331.htm,1,1,True,True,True,,ready,2.03
2024Q2,AMPH,1297184,ok,1,2024-05-08,0001297184-24-000033,amph-20240508x8k.htm,amph-20240508xex99d1.htm,1,10-Q,2024-05-10,0001297184-24-000037,amph-20240331x10q.htm,1,1,True,True,True,,ready,2.67
2024Q2,AMR,1704715,ok,1,2024-05-06,0001704715-24-000095,amr-20240502.htm,pressrelease3312024.htm,1,10-Q,2024-05-06,0001704715-24-000097,amr-20240331.htm,1,1,True,True,True,,ready,1.91
2024Q2,AMRX,1723128,ok,1,2024-05-03,0001723128-24-000018,amrx-20240503.htm,amrx-q12024ex991.htm,1,10-Q,2024-05-08,0001723128-24-000021,amrx-20240331.htm,1,1,True,True,True,,ready,2.16
2024Q2,AMT,1053507,ok,1,2024-04-30,0001053507-24-000081,amt-20240430.htm,pressreleaseq12024.htm,1,10-Q,2024-04-30,0001053507-24-000084,amt-20240331.htm,1,1,True,True,True,,ready,2.04
2024Q2,AMWD,794619,ok,1,2024-05-23,0000794619-24-000018,amwd-20240523.htm,ex99120244308k.htm,1,10-K,2024-06-26,0000794619-24-000057,amwd-20240430.htm,1,1,True,True,True,,ready,2.30
2024Q2,ANDE,821026,ok,1,2024-05-07,0000821026-24-000135,ande-20240507.htm,q12024ex-99pressrelease.htm,1,10-Q,2024-05-08,0000821026-24-000141,ande-20240331.htm,1,1,True,True,True,,ready,2.35
2024Q2,ANET,1596532,ok,1,2024-05-07,0001596532-24-000171,anet-20240503.htm,ex991q124-earningsrelease.htm,1,10-Q,2024-05-08,0001596532-24-000173,anet-20240331.htm,1,1,True,True,True,,ready,2.08
2024Q2,ANF,1018840,ok,1,2024-05-30,0001018840-24-000035,anf-20240529.htm,q12024investorpresentati.htm;q12024pressrelease.htm,2,10-Q,2024-06-07,0001018840-24-000041,anf-20240504.htm,1,2,True,True,True,,ready,2.35
2024Q2,ANGI,1705110,ok,1,2024-05-07,0001705110-24-000036,angi-20240507.htm,q12024earningsrelease.htm,1,10-Q,2024-05-07,0001705110-24-000038,angi-20240331.htm,1,1,True,True,True,,ready,2.43
2024Q2,ANGO,1275187,ok,1,2024-04-04,0001140361-24-017807,ef20026031_8k.htm,ef20026031_ex99-1.htm;ef20026031_ex99-2.htm,2,10-Q,2024-04-09,0001628280-24-015487,ango-20240229.htm,1,2,True,True,True,,ready,2.90
2024Q2,AON,315293,ok,1,2024-04-26,0001628280-24-018419,aon-20240426.htm,ex991prq12024.htm,1,10-Q,2024-04-26,0001628280-24-018649,aon-20240331.htm,1,1,True,True,True,,ready,2.03
2024Q2,AOS,91142,ok,1,2024-04-25,0000091142-24-000130,aos-20240425.htm,a3312024exhibit991.htm,1,10-Q,2024-04-26,0000091142-24-000132,aos-20240331.htm,1,1,True,True,True,,ready,2.25
