ticker,filed,tradable_date,form,items,acceptance_datetime_utc,primary_document,ex99_1_document,periodic_filing_form,periodic_filing_date,earnings_score,earnings_score_bucket,guidance_torque,earnings_torque,segment_wave_torque,margin_quality,warning_penalty,guidance_vs_current_pct,score_status,score_missing_fields,extraction_source,llm_confidence,semantic_char_count,semantic_element_count,table_count,edgartools_available,numeric_evidence_count,guidance_evidence_count,wave_or_demand_evidence_count,warning_or_risk_evidence_count,quality_flags,quality_ok,json_path,entry_open,return_10d_pct,return_20d_pct,return_30d_pct,return_60d_pct,return_90d_pct
AAOI,2021-02-25,2021-02-26,8-K,"2.02,9.01",2021-02-25T21:06:32.000Z,appliedopto_i8k.htm,appliedopto_ex9901.htm,10-K,2021-02-25,-3,avoid,-2,0,0,0,1,-6.3098,scored,,in_session_llm_json,0.88,19264,40,12,True,6,6,6,6,,True,Growth/earnings_8k_sec_parser/AAOI/json/AAOI_2021-02-25_8-K_0001683168-21-000717.json,10.530000,-26.3058,-20.5128,-23.9316,-22.7920,-22.0323
AAOI,2021-05-06,2021-05-07,8-K,"2.02,9.01",2021-05-06T20:10:30.000Z,appliedopto_i8k.htm,aaoi_ex9901.htm,10-Q,2021-05-06,0,avoid,1,0,0,0,1,7.6459,scored,,in_session_llm_json,0.88,16158,40,12,True,6,6,6,6,,True,Growth/earnings_8k_sec_parser/AAOI/json/AAOI_2021-05-06_8-K_0001683168-21-001799.json,7.160000,8.6592,14.6648,21.2291,13.9665,7.5419
AAOI,2021-08-05,2021-08-06,8-K,"2.02,9.01",2021-08-05T20:11:20.000Z,appliedopto_i8k.htm,appliedopto_ex9901.htm,10-Q,2021-08-05,-4,avoid,-2,-1,0,0,1,-1.2915,scored,,in_session_llm_json,0.88,17237,38,12,True,6,6,6,6,,True,Growth/earnings_8k_sec_parser/AAOI/json/AAOI_2021-08-05_8-K_0001683168-21-003289.json,7.270000,-7.0151,-2.4759,7.4278,-5.5021,18.8446
AAOI,2021-11-04,2021-11-05,8-K,"2.02,9.01",2021-11-04T20:11:51.000Z,applied_8k.htm,applied_ex9901.htm,10-Q,2021-11-04,-4,avoid,-2,-1,0,0,1,-0.5629,scored,,in_session_llm_json,0.88,17216,40,12,True,6,6,6,6,,True,Growth/earnings_8k_sec_parser/AAOI/json/AAOI_2021-11-04_8-K_0001683168-21-005248.json,6.804000,-11.2287,-11.3757,-19.7531,-22.2516,-43.4156
AAOI,2022-02-24,2022-02-25,8-K,"2.02,9.01",2022-02-24T21:10:31.000Z,applied_8k.htm,applied_ex9901.htm,10-K,2022-02-24,-3,avoid,-2,0,0,0,1,-3.4926,scored,,in_session_llm_json,0.88,18826,40,12,True,6,6,6,6,,True,Growth/earnings_8k_sec_parser/AAOI/json/AAOI_2022-02-24_8-K_0001683168-22-001247.json,3.790000,-6.0686,-12.4011,-14.5119,-29.2876,-39.3140
AAOI,2022-05-05,2022-05-06,8-K,"2.02,9.01",2022-05-05T20:10:42.000Z,applied_8k.htm,applied_ex9901.htm,10-Q,2022-05-05,1,low,2,0,0,0,1,10.1533,scored,,in_session_llm_json,0.88,16083,40,12,True,6,6,6,6,,True,Growth/earnings_8k_sec_parser/AAOI/json/AAOI_2022-05-05_8-K_0001683168-22-003230.json,2.590000,-10.0386,-11.1969,-15.8301,-40.9266,-23.9382
AAOI,2022-08-04,2022-08-05,8-K,"2.02,9.01",2022-08-04T20:11:17.000Z,applied_8k.htm,applied_ex9901.htm,10-Q,2022-08-04,0,avoid,2,-1,0,0,1,11.8547,scored,,in_session_llm_json,0.88,16910,40,12,True,6,6,6,6,,True,Growth/earnings_8k_sec_parser/AAOI/json/AAOI_2022-08-04_8-K_0001683168-22-005337.json,1.930000,48.1865,43.0052,11.3990,52.3316,25.9067
AAOI,2022-11-03,2022-11-04,8-K,"2.02,9.01",2022-11-03T20:10:27.000Z,applied_8k.htm,applied_ex9901.htm,10-Q,2022-11-03,0,avoid,1,0,0,0,1,7.5838,scored,,in_session_llm_json,0.88,16742,38,12,True,6,6,6,6,,True,Growth/earnings_8k_sec_parser/AAOI/json/AAOI_2022-11-03_8-K_0001683168-22-007251.json,2.270000,3.0837,-3.5242,0.8811,-17.1806,24.2291
AAOI,2023-02-23,2023-02-24,8-K,"2.02,9.01",2023-02-23T21:10:15.000Z,applied_8k.htm,applied_ex9901.htm,10-K,2023-02-27,-3,avoid,-2,0,0,0,1,-13.1494,scored,,in_session_llm_json,0.88,18166,40,12,True,6,6,6,6,,True,Growth/earnings_8k_sec_parser/AAOI/json/AAOI_2023-02-23_8-K_0001683168-23-001106.json,2.970000,-6.3973,-16.4983,-42.0875,-32.3232,-41.0774
AAOI,2023-05-04,2023-05-05,8-K,"2.02,9.01",2023-05-04T20:10:31.000Z,aaoi_8k.htm,aaoi_ex9901.htm,10-Q,2023-05-04,-3,avoid,-2,0,0,0,1,-16.9811,scored,,in_session_llm_json,0.88,16705,40,12,True,6,6,6,6,,True,Growth/earnings_8k_sec_parser/AAOI/json/AAOI_2023-05-04_8-K_0001683168-23-002928.json,1.600000,2.5000,9.3750,45.6250,339.3750,311.8750
