Ticker,Revenue group,Net income group,Assets,Financing cash flow,Investing cash flow,Operating cash flow,return from 2024 q3 to today
DAN,$2B-$10B,28000000,7965000000,255000000,-118000000,-170000000,216.8585
DASH,$2B-$10B,-161000000,10839000000,-390000000,-10000000,397000000,49.3402
DBD,$500M-$1B,-111100000,4162000000,21100000,-1700000,-95900000,114.4737
DBI,$500M-$1B,11415000,2134495000,93507000,-123935000,22546000,12.172
DBX,$500M-$1B,69000000,2983500000,-241300000,200800000,139900000,7.694
DCGO,$100M-$500M,-3918790,407545176,-11951059,-1689495,-23117951,-77.2774
DCH,$1B-$2B,-5100000,5356300000,-49100000,-30500000,32100000,-18.1108
DCO,$100M-$500M,5231000,1120919000,-4841000,-5362000,-18928000,141.6065
DD,$2B-$10B,257000000,38552000000,-213000000,-229000000,209000000,38.1519
DDD,$100M-$500M,-97158000,1446613000,-12981000,-374116000,-52449000,-28.8274
DDOG,$100M-$500M,-24086000,3936072000,2098000,-256248000,133787000,-9.7179
DE,$10B-$50B,4819000000,98347000000,2017000000,-1494000000,-147000000,62.455
DECK,$2B-$10B,451949000,2556203000,-367482000,-51009000,172353000,-33.6784
DEI,$100M-$500M,18373000,9644218000,-60929000,-51403000,145474000,-18.0316
DELL,$10B-$50B,583000000,82089000000,-2002000000,-684000000,1777000000,56.7501
DFIN,$100M-$500M,15800000,871300000,47700000,-1700000,-51500000,-14.189
DG,$2B-$10B,514380000,30795591000,101975000,-361602000,191115000,-10.4615
DGII,$100M-$500M,11678000,835531000,-10187000,-2855000,9607000,144.7049
DGX,$2B-$10B,202000000,14022000000,-76000000,-158000000,94000000,42.9537
DHI,$10B-$50B,1900900000,32582400000,-791300000,-180600000,1473600000,13.1986
DHR,$2B-$10B,1450000000,84488000000,-262000000,-304000000,1947000000,-21.5177
DIN,$100M-$500M,27410000,1740287000,-93217000,-12739000,16076000,-23.201
DIOD,$100M-$500M,71150000,2285561000,-70318000,-48131000,99811000,39.4847
DIS,$10B-$50B,2550000000,205579000000,-1126000000,-2541000000,2262000000,-0.2213
DK,$2B-$10B,64300000,7171800000,-149300000,-222100000,395100000,63.2772
DLR,$1B-$2B,68726000,44113258000,390908000,-749007000,349726000,28.2461
DLTR,$2B-$10B,299000000,23108600000,-167600000,-352700000,752000000,-7.8881
DLX,$500M-$1B,2752000,3080622000,-122288000,-25484000,-6706000,35.918
DNOW,$500M-$1B,31000000,1529000000,-34000000,-5000000,-6000000,-6.8478
DNUT,$100M-$500M,-301000,3240592000,1808000,-16446000,10365000,-63.2216
DOC,$500M-$1B,118952000,15698850000,-239875000,56345000,173921000,-16.0714
DOCN,$100M-$500M,-16370000,1460967000,-264230000,107956000,36215000,176.8564
DOCU,$500M-$1B,539000,2971290000,-20904000,7812000,233635000,-13.577
DOV,$2B-$10B,228574000,11348513000,-306565000,-43556000,241284000,24.7166
DOW,$10B-$50B,-93000000,57967000000,-854000000,-150000000,535000000,-25.8868
DPZ,$1B-$2B,104770000,1674899000,-45281000,-19603000,114682000,-35.7099
DRH,$100M-$500M,9156000,3238687000,-21063000,-21642000,58069000,21.8527
DRI,$2B-$10B,666800000,10241500000,-862700000,-409500000,,31.8424
DRS,$500M-$1B,12000000,3921000000,216000000,-14000000,-334000000,57.9102
DRVN,$500M-$1B,29749000,5910804000,108492000,-181690000,36792000,0.3906
DSGR,$100M-$500M,5907000,1550331000,-2394000,-5094000,13858000,-8.9203
DTE,$2B-$10B,445000000,44755000000,151000000,-981000000,924000000,33.3583
DUK,$2B-$10B,804000000,176893000000,1747000000,-3209000000,1483000000,30.6463
DUOL,$100M-$500M,-2582000,953957000,4619000,-1312000,29604000,-49.9325
DVA,$2B-$10B,115547000,16893578000,-275912000,-116544000,462557000,8.6635
DVN,$2B-$10B,995000000,24490000000,-1211000000,-1033000000,1677000000,0.6184
DXLG,$100M-$500M,6967000,357741000,-230000,-17677000,-4234000,-81.7686
DXPE,$100M-$500M,17580000,1177436000,-10354000,-3804000,26449000,262.2258
DY,$1B-$2B,51523000,2516885000,-34064000,-33608000,-85117000,143.9224
EA,$2B-$10B,789000000,13459000000,-1620000000,-2804000000,1899000000,46.0096
EAT,$2B-$10B,-30200000,2487000000,-67200000,-133300000,200800000,85.3324
EBAY,$2B-$10B,567000000,21620000000,-1388000000,701000000,841000000,86.221
EBF,$100M-$500M,11635000,399190000,-6459000,-7129000,21726000,-7.3449
EBS,$100M-$500M,-186200000,1823200000,-10500000,-15100000,-184000000,17.8624
ECL,$2B-$10B,233400000,21846600000,-166400000,-189400000,198200000,11.8472
ECPG,$100M-$500M,18626000,4630486000,110374000,-130715000,35913000,102.1468
ECVT,$100M-$500M,-1471000,1837751000,-33570000,-18698000,4114000,56.5072
ED,$2B-$10B,1433000000,66331000000,-3466000000,2618000000,92000000,22.0538
EE,$100M-$500M,12844000,2860379000,-16361000,-14929000,46797000,82.1429
EEFT,$500M-$1B,20100000,5894400000,-4400000,-18100000,3300000,-28.7031
EEX,$100M-$500M,7100000,1053900000,-17500000,-13200000,8900000,-13.5563
EFX,$1B-$2B,112400000,12280000000,-43300000,-162600000,150900000,-28.592
EG,$2B-$10B,365000000,49399000000,-103000000,-752000000,1064000000,-10.8735
EHAB,$100M-$500M,2700000,1433600000,-14000000,-3200000,29600000,53.4078
EIG,$100M-$500M,23600000,3550400000,-19600000,12800000,4300000,0.1642
EIX,$2B-$10B,365000000,81758000000,1316000000,-1305000000,-90000000,-5.4213
EL,$10B-$50B,1042000000,23415000000,1090000000,-527000000,1017000000,-29.1363
ELV,$10B-$50B,1989000000,108928000000,-531000000,-3184000000,6469000000,-34.5524
EMBC,$500M-$1B,49200000,1214400000,-26800000,-10500000,47400000,-25.8579
EME,$2B-$10B,111473000,6609721000,71506000,-25405000,-84583000,138.0032
EMR,$2B-$10B,3123000000,42746000000,-3036000000,2734000000,486000000,28.4531
ENOV,$100M-$500M,-23350000,4509334000,24498000,-34385000,7457000,-45.5349
ENPH,$500M-$1B,146873000,3383012000,-71805000,-363530000,246232000,-64.9698
ENR,$1B-$2B,89000000,4509600000,-203400000,-18000000,210200000,-33.3895
ENS,$100M-$500M,143911000,3616674000,98434000,-69233000,-65585000,101.5515
ENSG,$500M-$1B,59852000,4177541000,-1674000,-35971000,48344000,54.7746
ENTG,$500M-$1B,-88166000,8812591000,-6482000,-357000,151871000,14.2586
ENVA,$100M-$500M,50923000,3846992000,33555000,-205429000,282016000,172.8746
EPAM,$1B-$2B,102292000,4352365000,-15318000,-17717000,87334000,-36.3668
EPC,$1B-$2B,12400000,3740700000,-29000000,-20000000,1900000,-42.0378
EPM,$100M-$500M,35051000,128317000,-37347000,-4265000,51719000,-11.5169
EQIX,$1B-$2B,259000000,32651000000,542000000,-522000000,692000000,44.1746
EQR,$500M-$1B,212035000,20034564000,-355089000,43723000,393279000,-8.669
ERIE,$500M-$1B,86241000,2471964000,-55419000,-12326000,48031000,-36.042
ES,$2B-$10B,493039000,55612245000,623408000,-1051550000,69157000,19.975
ESE,$100M-$500M,32605000,1683214000,-10719000,-34124000,-5461000,201.1354
ESRT,$100M-$500M,11694000,4157363000,-17579000,-2631000,86363000,-38.9659
ESS,$100M-$500M,161594000,12361427000,-297600000,55158000,276919000,-4.585
ETN,$2B-$10B,638000000,38432000000,-281000000,-124000000,335000000,31.3351
ETR,$2B-$10B,312299000,59703396000,2070396000,-1283591000,959543000,111.6892
EVCM,$100M-$500M,-20775000,1518064000,-30409000,-4857000,12700000,8.1818
EVER,$100M-$500M,-2529000,110925000,157000,-1007000,-1237000,-23.9214
EVH,$100M-$500M,-19982000,2680308000,379729000,-394993000,-7974000,-82.2003
EVRG,$1B-$2B,142600000,30976100000,137200000,-496900000,362900000,53.6505
EVTC,$100M-$500M,30052000,2060263000,-40579000,-36637000,54511000,-9.5224
EW,$1B-$2B,340500000,9363200000,-206600000,500000,314100000,-6.4507
EXAS,$500M-$1B,-74151000,6471334000,133596000,82941000,-38215000,148.543
EXC,$2B-$10B,669000000,101546000000,1380000000,-1871000000,484000000,41.4557
EXE,$2B-$10B,1389000000,14376000000,-1279000000,395000000,889000000,17.131
EXEL,$100M-$500M,40028000,2942357000,4586000,-49592000,84408000,100.3345
EXLS,$100M-$500M,51331000,1441972000,-91304000,43341000,16025000,-2.7751
EXPD,$2B-$10B,226011000,5332577000,-226566000,-9551000,546412000,19.4293
EXPE,$2B-$10B,-145000000,21642000000,-437000000,-195000000,3157000000,96.5262
EXPI,$500M-$1B,1453000,385668000,-36205000,-1782000,56144000,-42.1612
EXR,$500M-$1B,196304000,27456262000,-242603000,-86339000,281649000,-9.128
EXTR,$500M-$1B,52647000,1141707000,-151117000,-8634000,168519000,29.1078
EYE,$500M-$1B,18270000,2172511000,-28662000,-27615000,74064000,87.1115
EZPW,$500M-$1B,16778000,1420532000,29976000,-40649000,46827000,202.6591
F,$10B-$50B,1757000000,256800000000,-3874000000,-1977000000,2800000000,-3.0255
FA,$100M-$500M,1925000,1630654000,-24163000,-6083000,38599000,-20.3611
FAST,$1B-$2B,295100000,4462900000,-348900000,-31000000,388500000,52.2756
FBP,$100M-$500M,70698000,18909549000,177146000,50535000,115415000,32.3674
FCFS,$500M-$1B,47388000,3869297000,-115984000,-13239000,110594000,105.8444
FDP,$1B-$2B,39000000,3184100000,-75900000,79600000,15500000,92.2654
FDS,$1B-$2B,268391000,3962922000,-285654000,-46305000,271314000,-44.7051
FDX,>$50B,2434000000,87143000000,-2396000000,-4430000000,5401000000,25.2616
FE,$2B-$10B,292000000,48767000000,828000000,-716000000,-112000000,28.7438
FELE,$100M-$500M,37325000,1728122000,33098000,-14553000,-12019000,6.6736
FET,$100M-$500M,-3486000,821061000,19357000,-819000,-23128000,271.9823
FFIV,$1B-$2B,153838000,5248333000,-377369000,52370000,298554000,72.5718
FG,$500M-$1B,-195000000,70202000000,1595000000,-2408000000,1437000000,-24.7363
FHB,$100M-$500M,66818000,24926474000,231222000,25113000,82633000,31.3678
FICO,$500M-$1B,199193000,1575281000,-173245000,-11887000,182244000,-31.6255
FIGS,$100M-$500M,1909000,473209000,-245000,-772000,-2881000,196.8105
FIS,$2B-$10B,140000000,55105000000,-2538000000,-1771000000,4810000000,-39.2947
FISV,$2B-$10B,563000000,90890000000,-1149000000,-314000000,1130000000,-59.114
FIVE,$500M-$1B,37478000,3380509000,-15842000,-66487000,85291000,113.4587
FIVN,$100M-$500M,-27248000,1494568000,3125000,-75686000,33412000,-62.5141
FIX,$1B-$2B,57216000,3305579000,-66618000,-68945000,126909000,483.8036
FLEX,$10B-$50B,936000000,21407000000,280000000,-951000000,1024000000,202.978
FLNC,$1B-$2B,-49497000,1352149000,23810000,35503000,-163411000,-25.0
FLR,$2B-$10B,-107000000,6973000000,-161000000,13000000,-161000000,16.2491
FLXS,$100M-$500M,289000,290550000,-26640000,-3597000,30462000,72.663
FN,$1B-$2B,187127000,1979648000,-39151000,-70449000,142222000,176.6216
FNKO,$100M-$500M,-55311000,804645000,63509000,-17787000,-30270000,-55.2361
FOR,$500M-$1B,47700000,2470700000,-700000,1300000,21300000,-11.6185
FORM,$100M-$500M,1342000,1106794000,4378000,-13539000,12309000,136.3719
FORR,$100M-$500M,-4075000,564174000,-14239000,1342000,12282000,-64.0222
FOX,$10B-$50B,884000000,21866000000,-2043000000,-318000000,1307000000,77.5513
FOXA,$10B-$50B,884000000,21866000000,-2043000000,-318000000,1307000000,84.874
FOXF,$100M-$500M,41767000,2242298000,157844000,-144336000,-66835000,-64.4984
FRSH,$100M-$500M,-42664000,1456772000,-12428000,41336000,11504000,-33.6342
FRT,$100M-$500M,55335000,8436512000,-31266000,-100811000,143007000,10.8583
FSLR,$500M-$1B,42561000,10365132000,107686000,-645227000,-34598000,-13.0056
FSTR,$100M-$500M,-2152000,313206000,-12022000,4661000,6932000,45.9028
FTAI,$100M-$500M,29397000,2964685000,-38445000,-12323000,38697000,123.4298
FTDR,$100M-$500M,22000000,1089000000,-7000000,-8000000,60000000,79.316
FTNT,$1B-$2B,247700000,7258900000,-13700000,-42400000,677500000,38.193
FTRE,$2B-$10B,186200000,4332600000,-6300000,-54000000,82700000,-56.9149
FTV,$1B-$2B,173600000,16911800000,-187100000,-24800000,174400000,9.5042
FUBO,$100M-$500M,-83613000,1232640000,103687000,-3918000,-78189000,-22.3118
FWONA,$2B-$10B,15000000,41168000000,-257000000,-415000000,661000000,25.5435
FWONK,$2B-$10B,15000000,41168000000,-257000000,-415000000,661000000,21.725
FWRD,$100M-$500M,36368000,2979533000,-122873000,-64411000,196814000,21.9128
FWRG,$100M-$500M,9360000,1267045000,-1958000,-14441000,21143000,-25.0991
GATX,$100M-$500M,77400000,11326000000,-98300000,-122900000,95000000,49.6125
GBTG,$500M-$1B,-27000000,3751000000,122000000,-32000000,-77000000,-12.5758
GBX,$1B-$2B,16400000,3978400000,23700000,-105200000,-96400000,-0.8281
GCO,$100M-$500M,-18890000,1495312000,61783000,-17148000,-60445000,33.2687
GCT,$100M-$500M,15941000,846909000,-916000,-137000,20346000,45.7953
GD,$2B-$10B,730000000,54810000000,-475000000,-190000000,1462000000,20.1373
GDDY,$1B-$2B,47300000,7564900000,-124200000,-22800000,270300000,-39.0085
GDEN,$100M-$500M,11630000,1452283000,-15516000,-24861000,54546000,-8.129
GDOT,$100M-$500M,36012000,4817122000,-161648000,-32720000,100532000,27.6371
GDRX,$100M-$500M,-3290000,1588800000,-14090000,-14288000,32288000,-70.3065
GE,$10B-$50B,7506000000,163045000000,-3232000000,-1796000000,-259000000,91.7346
GEF,$1B-$2B,201100000,5960800000,215600000,-451000000,243700000,14.715
GEHC,$2B-$10B,372000000,32454000000,673000000,-266000000,468000000,-5.8711
GEN,$2B-$10B,836000000,15947000000,-333000000,326000000,974000000,-23.6589
GEO,$500M-$1B,28003000,3696406000,-45878000,-15162000,94740000,29.7222
GETY,$100M-$500M,3203000,2601761000,-47000,-15525000,31915000,-72.1656
GEV,$2B-$10B,-315000000,46121000000,704000000,-41000000,-690000000,479.7193
GFF,$1B-$2B,48702000,2418879000,-99631000,-2571000,83125000,46.0524
GH,$100M-$500M,-133533000,1786421000,-854000,157224000,-74441000,209.7237
GHC,$1B-$2B,52272000,7187730000,-57802000,-1954000,22811000,65.2398
GHM,$100M-$500M,-8773000,203918000,14419000,-57106000,-2219000,233.8068
GIC,$100M-$500M,13200000,513400000,-7900000,-700000,28300000,9.1489
GIII,$500M-$1B,3236000,2554483000,-95752000,-8630000,201831000,16.239
GILD,$2B-$10B,1010000000,62125000000,-1406000000,-826000000,1744000000,106.2363
GIS,$2B-$10B,2707300000,31451700000,-2503200000,-1690700000,3316100000,-45.1048
GL,$1B-$2B,223610000,28051499000,-151740000,-247770000,477330000,83.6221
GLPI,$100M-$500M,183351000,11806658000,-51368000,-422076000,241183000,5.4977
GLW,$2B-$10B,176000000,28500000000,-248000000,-228000000,-49000000,333.6415
GM,$10B-$50B,2395000000,267004000000,-1685000000,-2262000000,3086000000,64.9613
GNE,$100M-$500M,14431000,330555000,-3273000,-4162000,11234000,-4.446
GNTX,$500M-$1B,97578261,2611437552,-47819943,-72396645,120914110,-27.942
GNW,$1B-$2B,122000000,90817000000,-428000000,364000000,-92000000,48.2558
GO,$500M-$1B,13720000,2969586000,-67898000,-40347000,87632000,-64.2084
GOLD,$2B-$10B,114526000,1545571000,-18023000,15092000,43249000,43.6753
GOLF,$500M-$1B,93275000,2196677000,119310000,-34834000,-86418000,52.9403
GOOG,>$50B,15051000000,402392000000,-16568000000,-2946000000,23509000000,70.6093
GOOGL,>$50B,15051000000,402392000000,-16568000000,-2946000000,23509000000,73.3705
GPC,$2B-$10B,303957000,17968454000,-157813000,-45236000,197507000,-22.7877
GPI,$2B-$10B,158400000,7774100000,-67000000,-104600000,143400000,15.0527
GPN,$2B-$10B,-11041000,50570186000,3610829000,-4206793000,599526000,-29.3608
GPOR,$500M-$1B,523054000,3267613000,-179273000,-128581000,304055000,23.529
GRBK,$100M-$500M,64180000,1902832000,-49189000,-3101000,154707000,23.4966
GRC,$100M-$500M,6520000,890358000,-7004000,-6024000,18622000,102.33
GRMN,$1B-$2B,202327000,8603569000,-192289000,-7899000,279210000,57.7546
GRPN,$100M-$500M,-29147000,570956000,-29197000,-9013000,-76320000,-0.6549
GT,$2B-$10B,-101000000,21582000000,1075000000,-456000000,-775000000,-36.775
GTLB,$100M-$500M,-52469000,1317861000,7513000,24380000,-10961000,-56.5344
GTLS,$500M-$1B,-15000000,9102400000,1967800000,-4373800000,-32100000,43.8214
GTM,$100M-$500M,44500000,6868300000,-29300000,-19600000,108600000,-52.0392
GTX,$500M-$1B,81000000,2527000000,-44000000,-8000000,92000000,145.7657
GWW,$2B-$10B,488000000,8147000000,-224000000,-96000000,454000000,27.1637
HAE,$500M-$1B,43375000,1934825000,-15749000,-86345000,172263000,-26.4713
HAIN,$1B-$2B,6923000,2258639000,-34792000,-13243000,26309000,-86.742
HAL,$2B-$10B,651000000,24683000000,-249000000,-295000000,122000000,18.9782
HALO,$100M-$500M,39615000,1733270000,-164614000,-60162000,86964000,25.2728
HAS,$1B-$2B,-22100000,8923700000,-156600000,-55600000,88800000,62.3717
HBAN,$100M-$500M,602000000,189368000000,5834000000,-2299000000,130000000,25.3612
HBANL,$100M-$500M,602000000,189368000000,5834000000,-2299000000,130000000,4.0733
HBANP,$100M-$500M,602000000,189368000000,5834000000,-2299000000,130000000,-2.3156
HBB,$100M-$500M,-4777000,336607000,-33027000,-614000,34874000,22.0877
HCA,$10B-$50B,1363000000,56211000000,-725000000,-1151000000,1803000000,36.6674
HCC,$100M-$500M,182277000,2357058000,-74848000,-85018000,192934000,28.6755
HCI,$100M-$500M,15338000,1811316000,-14100000,-17757000,99109000,67.9375
HCSG,$100M-$500M,11671000,790652000,6907000,-743000,-16290000,107.9395
HD,$10B-$50B,3873000000,76530000000,-6188000000,-903000000,5614000000,-2.2563
HE,$500M-$1B,55194000,17243821000,71139000,-137468000,180952000,67.9978
HELE,$2B-$10B,223764000,2913715000,286352000,-438914000,140823000,-74.1967
HG,$100M-$500M,53002000,6671355000,-3117000,-132129000,12086000,96.6787
HGV,$500M-$1B,73000000,8685000000,183000000,-11000000,26000000,14.1767
HIG,$2B-$10B,535000000,76780000000,-545000000,-446000000,871000000,34.9266
HII,$2B-$10B,129000000,11215000000,-80000000,-60000000,-9000000,44.612
HIMS,$100M-$500M,-10067000,441186000,-3412000,-4113000,9483000,44.6569
HLF,$1B-$2B,29300000,2809400000,-76000000,-30200000,46200000,59.6525
HLIO,$100M-$500M,13900000,1590400000,73800000,-94600000,12300000,43.3117
HLIT,$100M-$500M,5093000,768206000,-3420000,-2331000,6270000,-11.4698
HLMN,$100M-$500M,-9132000,2331101000,-8759000,-18524000,31507000,-0.5096
HLNE,$100M-$500M,145986000,1140543000,-113216000,-70487000,169523000,-23.5641
HLT,$2B-$10B,206000000,15401000000,-547000000,-85000000,330000000,51.7533
HLX,$100M-$500M,-5165000,2556036000,-9424000,-6300000,-5392000,-17.8482
HMN,$100M-$500M,6600000,14049900000,-6500000,-95300000,86400000,39.7928
HNI,$100M-$500M,1600000,1928800000,2100000,-20000000,17300000,-16.5407
HON,$2B-$10B,1394000000,61525000000,-1973000000,-29000000,-784000000,15.7224
HOV,$1B-$2B,18716000,2492940000,-56988000,-20455000,65967000,-16.8917
HP,$1B-$2B,97145000,4381956000,-263154000,-119206000,326254000,6.2517
HPE,$10B-$50B,919000000,57153000000,163000000,-2170000000,60000000,33.3724
HPP,$100M-$500M,-14817000,8282050000,-205848000,10499000,92516000,-73.4862
HPQ,$10B-$50B,469000000,37004000000,-1384000000,-441000000,620000000,-44.0341
HQY,$100M-$500M,4094000,3163790000,-51027000,-9135000,31538000,-3.2601
HRI,$500M-$1B,67000000,7061000000,202000000,-451000000,235000000,-7.0523
HRL,$2B-$10B,434958000,13448772000,-306739000,-511068000,411754000,-29.2579
HRMY,$100M-$500M,29485000,811448000,3409000,-1790000,42559000,2.9915
HRTG,$100M-$500M,14008000,2153200000,-2379000,36525000,14946000,328.0057
HSIC,$2B-$10B,121000000,10573000000,21000000,-39000000,27000000,20.6362
HST,$1B-$2B,287000000,12243000000,-308000000,-105000000,308000000,17.1045
HSY,$2B-$10B,587185000,11902941000,-552248000,-188317000,755397000,2.0435
HTH,$100M-$500M,25800000,16466996000,403845000,-142264000,-108457000,18.3157
HTLD,$100M-$500M,12612000,1509646000,-47366000,-12801000,66442000,7.2764
HTO,$100M-$500M,11530000,4345067000,15411000,-55029000,50607000,8.871
HTZ,$2B-$10B,196000000,24605000000,739000000,-1488000000,562000000,58.7324
HUBB,$1B-$2B,181900000,6914000000,-91800000,-35100000,113700000,48.563
HUBS,$500M-$1B,-36720000,3071392000,10056000,-98711000,81070000,-60.9436
HUM,$10B-$50B,1239000000,47065000000,3279000000,-1292000000,6687000000,-41.0593
HURC,$100M-$500M,1707000,290589000,-6686000,-1132000,-7035000,7.4496
HVT,$100M-$500M,12372000,654133000,-7316000,-6642000,11074000,-9.0656
HWKN,$500M-$1B,51542000,590535000,7417000,-49756000,42837000,87.5467
HWM,$1B-$2B,148000000,10428000000,-214000000,-64000000,23000000,204.5778
HY,$500M-$1B,26600000,2079100000,-2500000,-5000000,9000000,-42.7533
HZO,$1B-$2B,49725000,2421305000,748852000,-524246000,-250522000,-7.3697
IAC,$1B-$2B,417775000,10371177000,-95975000,51974000,25167000,16.5458
IART,$100M-$500M,24226000,3781988000,-162683000,-13704000,26156000,-63.5002
IBM,$10B-$50B,927000000,135241000000,5708000000,-7960000000,3774000000,39.3716
IBP,$500M-$1B,49300000,1981300000,-37100000,-47600000,73800000,44.4885
ICE,$2B-$10B,655000000,136084000000,-42351000000,2045000000,653000000,13.9344
ICFI,$100M-$500M,16398000,2011772000,19688000,-6900000,-16831000,-53.3792
ICHR,$100M-$500M,-5000,938481000,59000,-6819000,-10873000,79.2477
ICUI,$500M-$1B,-9812000,4378439000,-15837000,-15183000,41245000,3.6287
IDCC,$100M-$500M,105259000,1770814000,-218136000,-14463000,-27852000,206.5335
IDXX,$500M-$1B,214054000,3259925000,-146081000,-39511000,183912000,21.6676
IEP,$2B-$10B,-270000000,20858000000,1000000,-63000000,265000000,-51.0291
IESC,$1B-$2B,52926000,889088000,-82060000,12282000,60059000,329.1264
IEX,$500M-$1B,139800000,5865200000,-45200000,-29200000,147900000,1.9231
IFF,$2B-$10B,-9000000,30978000000,78000000,-167000000,127000000,-25.6887
IIIV,$100M-$500M,-204000,883026000,83814000,-111130000,25884000,-2.8166
ILMN,$1B-$2B,3000000,10111000000,-473000000,-56000000,10000000,22.5549
INSW,$100M-$500M,172633000,2571530000,-217792000,-72225000,220822000,36.4559
INTA,$100M-$500M,-57955000,628907000,-10327000,-6430000,16834000,-38.5808
INTC,$10B-$50B,-2758000000,191572000000,7394000000,-8521000000,-1785000000,90.715
INTU,$10B-$50B,2295000000,27780000000,-2904000000,-549000000,4204000000,-40.3059
IONS,$100M-$500M,-124323000,2990072000,492087000,-325640000,-133992000,52.4278
IOSP,$500M-$1B,33200000,1707400000,400000,-22000000,21800000,-36.9479
IP,$2B-$10B,172000000,23261000000,-108000000,-339000000,345000000,-25.1854
IPAR,$500M-$1B,54068000,1369329000,-12555000,61644000,-7358000,-22.7227
IPGP,$100M-$500M,60135000,2698898000,-117236000,-96018000,37280000,37.1185
IQV,$2B-$10B,289000000,26681000000,87000000,-222000000,417000000,-23.1283
IR,$1B-$2B,161100000,15563500000,-89300000,-581500000,170300000,-8.6737
IRDM,$100M-$500M,9775000,2661775000,-77961000,-32905000,68942000,37.9068
IRM,$1B-$2B,65535000,17473802000,149901000,-272543000,128808000,26.3774
IRT,$100M-$500M,8648000,6280175000,-36574000,-19521000,46911000,-14.8931
IRTC,$100M-$500M,-39109000,433144000,905000,3820000,-30753000,17.8605
IRWD,$100M-$500M,45714000,471073000,3981000,-13000,80171000,-39.6472
ISRG,$1B-$2B,355300000,15441500000,-381200000,573100000,371400000,3.6851
IT,$1B-$2B,295783000,7835919000,-101292000,137611000,164679000,-66.663
ITW,$2B-$10B,714000000,15518000000,-185000000,-111000000,728000000,12.9146
IVZ,$1B-$2B,145000000,28933800000,-178500000,45500000,-98900000,70.9279
J,$2B-$10B,352160000,14617109000,-336012000,-76675000,434339000,9.0527
JACK,$500M-$1B,53254000,3001092000,-117042000,9730000,94108000,-75.1079
JAZZ,$500M-$1B,69420000,11393359000,-29788000,-4822000,320708000,89.806
JBGS,$100M-$500M,21171000,5518515000,31860000,-26673000,42632000,2.1696
JBI,$100M-$500M,26000000,1350000000,-52100000,-7100000,50200000,-57.0079
JBL,$10B-$50B,430000000,19424000000,-371000000,-484000000,580000000,210.1091
JBLU,$2B-$10B,-192000000,13853000000,-74000000,-40000000,405000000,-15.1741
JBSS,$500M-$1B,15545000,445060000,-53297000,-19142000,72389000,-17.7353
JBTM,$100M-$500M,27200000,2710400000,-30000000,-27000000,39100000,37.0561
JCI,$10B-$50B,251000000,42242000000,262000000,-314000000,18000000,113.9263
JELD,$1B-$2B,15134000,2980125000,-99000,-19032000,-656000,-88.5958
JILL,$100M-$500M,4596000,428180000,-64096000,-2925000,7859000,-63.1527
JKHY,$1B-$2B,268873000,2773826000,126295000,-355561000,207031000,-8.3833
JNJ,$10B-$50B,-68000000,167558000000,6138000000,3315000000,3257000000,65.1948
JRVR,$100M-$500M,9608000,5317250000,-8805000,17126000,19452000,-16.469
KAI,$100M-$500M,28075000,1175665000,-27757000,-4467000,36866000,7.2907
KALU,$500M-$1B,15900000,2267400000,25000000,-25900000,-20300000,98.3908
KBH,$1B-$2B,125500000,6648362000,-146327000,-16961000,93917000,-21.5603
KDP,$2B-$10B,467000000,52130000000,-303000000,-105000000,71000000,-22.6347
KE,$1B-$2B,36629000,1259719000,107148000,-66497000,-57885000,23.6401
KELYA,$1B-$2B,10900000,2581600000,-24800000,-2200000,-13500000,-55.0444
KEQU,$100M-$500M,738000,118898000,14931000,-4148000,-3790000,-23.4958
KEY,$1B-$2B,312000000,188281000000,6515000000,-7336000000,718000000,54.2958
KEYS,$2B-$10B,543000000,8683000000,-140000000,-205000000,789000000,148.5046
KFRC,$100M-$500M,16210000,357979000,-21443000,2437000,19056000,-49.5104
KFY,$2B-$10B,326360000,3574444000,-137444000,-184332000,501658000,-1.1118
KGS,$100M-$500M,-12343000,3213748000,18853000,-48574000,23290000,141.3768
KHC,$10B-$50B,836000000,90339000000,-439000000,-264000000,486000000,-28.793
KIM,$100M-$500M,289763000,18274022000,-209444000,43559000,345233000,22.4884
KKR,$2B-$10B,339994000,282610589000,2072968000,-3818533000,-1932888000,-4.8383
KLAC,$2B-$10B,1025991000,14072357000,-2318968000,-408087000,2710690000,103.1536
KLIC,$100M-$500M,14589000,1499777000,-72911000,-186197000,86936000,74.2467
KLXE,$100M-$500M,9400000,539800000,-5600000,-3600000,-8600000,-31.4371
KMI,$2B-$10B,679000000,71020000000,-1181000000,-508000000,1333000000,54.8544
KMT,$1B-$2B,82032000,2547234000,-50013000,-66214000,126182000,67.275
KN,$100M-$500M,-5200000,1462800000,-14300000,-3900000,21900000,78.1829
KNF,$100M-$500M,-41320000,2326769000,117161000,-40754000,-79279000,27.7597
KNTK,$100M-$500M,187487000,6496873000,122467000,-246468000,119591000,13.2975
KO,$10B-$50B,3107000000,97703000000,2065000000,117000000,160000000,20.709
KOP,$500M-$1B,25500000,1835500000,56800000,-28500000,-15300000,10.0652
KOS,$100M-$500M,83309000,4698145000,-19475000,-239356000,203853000,-47.6661
KR,$10B-$50B,962000000,50505000000,-296000000,-947000000,2860000000,32.5262
KRG,$100M-$500M,5391000,6944078000,-91364000,-41514000,63603000,17.2337
