ticker,event_dates
A,2022-02-22
AAP,2022-02-14
AAT,2022-02-08
ABG,2022-02-15
ABM,2022-03-08
ABNB,2022-02-15
ACA,2022-02-23
ACAD,2022-02-28
ACCO,2022-02-15
ACGL,2022-02-09
ACH,2022-02-23
ACIW,2022-02-24
ACLS,2022-02-07
ACT,2022-02-01
ACVA,2022-02-16
ADBE,2022-03-22
ADEA,2022-02-23
ADI,2022-02-16
ADNT,2022-02-04
ADSK,2022-02-24
ADTN,2022-02-03
ADUS,2022-02-24
ADV,2022-03-01
AEE,2022-02-17
AEIS,2022-02-09
AEO,2022-03-02
AEP,2022-02-24
AES,2022-02-25
AFL,2022-02-02
AFRM,2022-02-10
AGYS,2022-01-25
AHCO,2022-02-24
AHRT,2022-02-10
AI,2022-03-02
AIOT,2022-03-09
AJG,2022-01-27
AKAM,2022-02-15
ALB,2022-02-16
ALG,2022-02-24
ALGM,2022-02-01
ALGN,2022-02-02
ALGT,2022-02-02
ALKS,2022-02-16
ALLE,2022-02-15
ALRM,2022-02-24
ALTG,2022-03-31
AMC,2022-02-01
AMCX,2022-02-16
AMD,2022-02-01
AME,2022-02-03
AMGN,2022-02-07
AMN,2022-01-10
AMPH,2022-03-10
AMR,2022-03-07
AMRX,2022-01-11
AMT,2022-02-24
AMWD,2022-02-24
ANDE,2022-02-15
ANET,2022-02-14
ANF,2022-03-03
ANGI,2022-01-12
ANGO,2022-01-06
AON,2022-02-04
AOS,2022-01-27
AOSL,2022-02-07
APAM,2022-02-01
APD,2022-02-04
APEI,2022-03-02
APH,2022-01-26
APLE,2022-02-22
APP,2022-02-16
APPF,2022-02-28
APPN,2022-02-17
APTV,2022-02-03
ARCB,2022-02-01
ARES,2022-02-11
ARLO,2022-03-01
ARLP,2022-01-31
AROC,2022-02-23
ARWR,2022-02-02
ASAN,2022-03-09
ASB,2022-01-20
ASGN,2022-02-09
ASIX,2022-02-18
ASO,2022-03-29
ASTH,2022-01-12
ATKR,2022-01-31
ATNI,2022-02-24
ATO,2022-02-08
AVA,2022-02-23
AVAV,2022-03-03
AVB,2022-02-03
AVD,2022-03-11
AVNS,2022-02-23
AVNT,2022-02-08
AVNW,2022-02-02
AVY,2022-02-02
AWK,2022-02-16
AWR,2022-02-22
AXON,2022-02-24
AXP,2022-01-25
AZZ,2022-01-10
BALL,2022-01-27
BANC,2022-01-25
BARK,2022-01-11
BAX,2022-02-17
BBBY,2022-02-23
BBSI,2022-03-02
BBT,2022-01-20
BBY,2022-03-03
BCC,2022-02-22
BCO,2022-02-23
