quarter,ticker,cik,event_accession,event_dates,primary_8k_doc,exhibit_docs,periodic_doc,primary_8k_text_len,exhibit_text_len,periodic_text_len,exhibit_table_count,exhibit_table_flag,doc_statuses,quality_pass,quality_reason
2024Q3,PRSU,884219,0000950170-24-091904,2024-08-06,vvi-20240806.htm,vvi-ex99_1.htm;vvi-ex99_2.htm,,3980,52955,0,8,has_tables,primary_8k:cached;exhibit_1:cached;exhibit_2:cached,True,included
2024Q3,PSA,1393311,0001393311-24-000166,2024-07-30,psa-20240730.htm,psa-73024xex99_1.htm,,6580,36933,0,9,has_tables,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,PSX,1534701,0001534701-24-000129,2024-07-30,psx-20240630_erxsuppinfoxe.htm,psx-20240630_ex991.htm,,54192,24720,0,11,has_tables,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,PTC,857005,0000950170-24-088530,2024-07-31,ptc-20240731.htm,ptc-ex99_1.htm,,2814,26068,0,10,has_tables,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,PTCT,1070081,0001070081-24-000015,2024-08-08,tmb-20240808x8k.htm,tmb-20240808xex99d1.htm,,4247,19798,0,48,has_tables,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,PTEN,889900,0001628280-24-032884,2024-07-25,pten-20240724.htm,a2024q2earningsreleaseex991.htm,,3918,33596,0,8,has_tables,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,PTGX,1377121,0001104659-24-086088,2024-08-06,tm2419327d1_8k.htm,tm2419327d1_ex99-1.htm,,3750,15054,0,20,has_tables,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,PTLO,1871509,0001871509-24-000102,2024-08-06,ptlo-20240806.htm,exhibit991earningsrelease6.htm;exhibit992ptloearningssu.htm,,3734,59382,0,9,has_tables,primary_8k:cached;exhibit_1:cached;exhibit_2:cached,True,included
2024Q3,PTON,1639825,0001639825-24-000120,2024-08-22,pton-20240822.htm,q42024shareholderletter.htm,,4406,49639,0,10,has_tables,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,PUBM,1422930,0001422930-24-000039,2024-08-08,pubm-20240808.htm,q224pressrelease.htm,,3960,24758,0,7,has_tables,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,PUMP,1680247,0001680247-24-000099,2024-07-31,pump-20240731.htm,a2q24earningscallscript.htm;a2q24investorpresentatio.htm;a6aearningsreleasesecond.htm,,4021,71438,0,0,no_tables_detected,primary_8k:cached;exhibit_1:cached;exhibit_2:cached;exhibit_3:cached,True,included
2024Q3,PWP,1777835,0001777835-24-000137,2024-08-02,pwp-20240802.htm,q22024ex991-earningsrelease.htm,,5137,33254,0,7,has_tables,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,PWR,1050915,0001193125-24-190572,2024-08-01,d850925d8k.htm,d850925dex991.htm,,7395,60551,0,35,has_tables,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,PXLW,1040161,0001040161-24-000028,2024-08-07,pxlw-20240807.htm,pxlw_q2x24xearningsrelease.htm,,3789,21244,0,6,has_tables,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,PYPL,1633917,0001633917-24-000096,2024-07-30,pypl-20240730.htm,pypl2q-24earningsrelease.htm,,3596,35585,0,25,has_tables,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,PYXS,1782223,0000950170-24-097054,2024-08-14,pyxs-20240814.htm,pyxs-ex99_1.htm,,3365,10682,0,2,has_tables,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,PZZA,901491,0001628280-24-035858,2024-08-08,pzza-20240808.htm,pzza-63024xpressrelease.htm,,3087,28568,0,8,has_tables,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,QCOM,804328,0000804328-24-000055,2024-07-31,qcom-20240731.htm,qcom062324erex991.htm,,3706,26789,0,16,has_tables,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,QCRH,906465,0001104659-24-082329,2024-07-24,tm2419965d1_8k.htm,tm2419965d1_ex99-1.htm,,3377,45698,0,48,has_tables,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,QDEL,0001906324,0001906324-24-000042,2024-07-31,qdel-20240731.htm,qdel6302024ex991earningsre.htm,,3690,21094,0,13,has_tables,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,QLYS,1107843,0001107843-24-000026,2024-08-06,qlys-20240806.htm,qlys-20240806xex991.htm,,3644,25963,0,7,has_tables,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,QNST,1117297,0000950170-24-093984,2024-08-08,qnst-20240808.htm,qnst-ex99_1.htm,,3268,21384,0,7,has_tables,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,QRHC,1442236,0000950170-24-093846,2024-08-08,qrhc-20240808.htm,qrhc-ex99_1.htm,,3661,12628,0,4,has_tables,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,QRVO,1604778,0001604778-24-000056,2024-07-30,rfmd-20240730.htm,earningsrelease20240629.htm,,2804,31223,0,9,has_tables,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,QTRX,1503274,0001503274-24-000006,2024-08-08,qtrx-20240808.htm,qtrx-20240630xex991.htm,,3222,13385,0,4,has_tables,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,QTTB,1661998,0000950170-24-093295,2024-08-08,qttb-20240808.htm,qttb-ex99_1.htm,,3331,15264,0,2,has_tables,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,QTWO,1410384,0001410384-24-000156,2024-07-31,qtwo-20240731.htm,a240630q2ex9918k.htm,,3196,29157,0,8,has_tables,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,QUAD,1481792,0001481792-24-000027,2024-07-30,quad-20240730.htm,pressreleaseex991q22024.htm,,2984,39504,0,16,has_tables,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,QURE,1590560,0001558370-24-010529,2024-08-01,qure-20240801x8k.htm,qure-20240801xex99d1.htm,,3586,19720,0,24,has_tables,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,QVCGA,1355096,0001355096-24-000036,2024-08-08,qrtea-20240808x8k.htm,qrtea-20240808xex99d1.htm,,3798,29272,0,41,has_tables,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,QVCGP,1355096,0001355096-24-000036,2024-08-08,qrtea-20240808x8k.htm,qrtea-20240808xex99d1.htm,,3798,29272,0,41,has_tables,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,RAMP,733269,0000733269-24-000025,2024-08-07,ramp-20240807.htm,a2025q1ex991earningsrelease.htm,,3805,39989,0,18,has_tables,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,RARE,1515673,0000950170-24-089263,2024-08-01,rare-20240801.htm,rare-ex99_1.htm,,3225,18483,0,5,has_tables,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,RBBN,1708055,0001104659-24-082334,2024-07-24,tm2420071d1_8k.htm,tm2420071d1_ex99-1.htm,,3498,31754,0,11,has_tables,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,RBCAA,921557,0001558370-24-009902,2024-07-19,rbcaa-20240719x8k.htm,rbcaa-20240719xex99d1.htm;rbcaa-20240719xex99d2.htm,,3276,85169,0,58,has_tables,primary_8k:cached;exhibit_1:cached;exhibit_2:cached,True,included
2024Q3,RBLX,1315098,0001315098-24-000163,2024-08-01,rblx-20240801.htm,exhibit992-shletterq2202.htm;rblx-20240801xexhibit991.htm,,4421,60992,0,9,has_tables,primary_8k:cached;exhibit_1:cached;exhibit_2:cached,True,included
2024Q3,RCEL,1762303,0000950170-24-093941,2024-08-08,rcel-20240808.htm,rcel-ex99_1.htm,,3252,13828,0,2,has_tables,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,RCKT,1281895,0001140361-24-035756,2024-08-05,ef20033571_8k.htm,ef20033571_ex99-1.htm,,3375,13834,0,24,has_tables,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,RCL,884887,0000884887-24-000128,2024-07-25,rcl-20240725.htm,a2024q2earningsrelease8-k.htm,,3231,40845,0,12,has_tables,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,RCUS,1724521,0001724521-24-000136,2024-08-08,rcus-20240808.htm,a2024q28kexhibit991.htm,,3664,18627,0,3,has_tables,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,RDN,890926,0001193125-24-190714,2024-08-01,d867080d8k.htm,d867080dex991.htm,,3273,55026,0,119,has_tables,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,RDNT,790526,0001683168-24-005428,2024-08-09,radnet_8k.htm,radnet_ex9901.htm;radnet_ex9902.htm,,3701,111455,0,51,has_tables,primary_8k:cached;exhibit_1:cached;exhibit_2:cached,True,included
2024Q3,RDNW,1596961,0001596961-24-000077,2024-08-07,rmbl-20240807.htm,a2024q2earningsrelease-ex9.htm,,3305,23319,0,15,has_tables,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,RDVT,1720116,0000950170-24-094358,2024-08-09,rdvt-20240807.htm,rdvt-ex99_1.htm;rdvt-ex99_2.htm,,3866,43200,0,8,has_tables,primary_8k:cached;exhibit_1:cached;exhibit_2:cached,True,included
2024Q3,RDW,1819810,0001819810-24-000089,2024-08-07,rdw-20240807.htm,exhibit991redwire6302024ea.htm,,3831,33763,0,12,has_tables,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,REAL,1573221,0001573221-24-000105,2024-08-06,real-20240806.htm,real-20240806xex991pressre.htm;real-20240806xex992shletter.htm,,4070,41783,0,10,has_tables,primary_8k:cached;exhibit_1:cached;exhibit_2:cached,True,included
2024Q3,REFI,0001867949,0001213900-24-065911,2024-08-07,ea0210616-8k_chicago.htm,ea021061601ex99-1_chicago.htm;ea021061601ex99-2_chicago.htm,,4545,44332,0,20,has_tables,primary_8k:cached;exhibit_1:cached;exhibit_2:cached,True,included
2024Q3,REG,910606,0000950170-24-089334,2024-08-01,reg-20240801.htm,reg-ex99_1.htm;reg-ex99_2.htm;reg-ex99_3.htm,,5402,223802,0,70,has_tables,primary_8k:cached;exhibit_1:cached;exhibit_2:cached;exhibit_3:cached,True,included
2024Q3,RELL,355948,0000950170-24-086120,2024-07-24,rell-20240724.htm,rell-ex99_1.htm,,3242,20839,0,6,has_tables,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,RELY,1782170,0001782170-24-000186,2024-07-31,rely-20240731.htm,rely2q24-earningspr.htm;remitlyirpresentation2q2.htm,,4121,36367,0,8,has_tables,primary_8k:cached;exhibit_1:cached;exhibit_2:cached,True,included
2024Q3,RENT,1468327,0001468327-24-000259,2024-09-05,wdq-20240905.htm,q2fy24earningsrelease.htm,,3282,25846,0,7,has_tables,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,REPL,1737953,0001104659-24-087035,2024-08-08,tm2421132d1_8k.htm,tm2421132d1_ex99-1.htm,,3399,11739,0,24,has_tables,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,REPX,1001614,0001001614-24-000046,2024-08-07,repx-20240807.htm,q22024earningsrelease.htm,,3489,25658,0,8,has_tables,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,RES,742278,0001558370-24-010104,2024-07-25,res-20240725x8k.htm,res-20240725xex99.htm,,2873,24115,0,21,has_tables,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,REX,744187,0000930413-24-002468,2024-08-27,c109915_8k-ixbrl.htm,c109915_ex99.htm,,2822,14571,0,18,has_tables,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,REXR,1571283,0001571283-24-000031,2024-07-17,rexr-20240717.htm,rexrex991q2-2024.htm;rexrex992q2-2024.htm,,5375,145929,0,127,has_tables,primary_8k:cached;exhibit_1:cached;exhibit_2:cached,True,included
