quarter,ticker,cik,metadata_status,item_202_8k_count,item_202_event_dates,item_202_accessions,primary_8k_docs,earnings_exhibit_docs,earnings_exhibit_doc_count,latest_periodic_form,latest_periodic_filing_date,latest_periodic_accession,latest_periodic_doc,primary_8k_cached_count,earnings_exhibit_cached_count,periodic_cached,ready_for_earnings_extraction,ready_for_periodic_extraction,quality_fail_reasons,audit_reasons
2023Q1,A,1090872,ok,1,2023-02-28,0001090872-23-000002,a-20230228.htm,exhibit991-q123pressrelease.htm,1,10-Q,2023-03-03,0001090872-23-000005,a-20230131.htm,1,1,True,True,True,,ready
2023Q1,AAP,1158449,ok,1,2023-02-28,0001158449-23-000032,aap-20230228.htm,aap_exhibit991xq4x2022.htm,1,10-K,2023-02-28,0001158449-23-000035,aap-20221231.htm,1,1,True,True,True,,ready
2023Q1,AAT,1500217,ok,1,2023-02-07,0001500217-23-000006,aat-20230207.htm,a4q22earningsreleaseng.htm,1,10-K,2023-02-10,0001500217-23-000010,aat-20221231.htm,1,1,True,True,True,,ready
2023Q1,ABG,1144980,ok,1,2023-02-02,0001144980-23-000003,abg-20230202.htm,a2022q4ex991.htm,1,10-K,2023-03-01,0001144980-23-000080,abg-20221231.htm,1,1,True,True,True,,ready
2023Q1,ABM,771497,ok,1,2023-03-08,0000950170-23-006583,abm-20230308.htm,abm-ex99_1.htm,1,10-Q,2023-03-08,0000771497-23-000008,abm-20230131.htm,1,1,True,True,True,,ready
2023Q1,ABNB,1559720,ok,1,2023-02-14,0001193125-23-039008,d451233d8k.htm,d451233dex991.htm,1,10-K,2023-02-17,0001559720-23-000003,abnb-20221231.htm,1,1,True,True,True,,ready
2023Q1,ACA,1739445,ok,1,2023-02-23,0001739445-23-000014,aca-20230223.htm,exh991earningsrelease12312.htm,1,10-K,2023-02-24,0001739445-23-000018,aca-20221231.htm,1,1,True,True,True,,ready
2023Q1,ACAD,1070494,ok,1,2023-02-28,0000950170-23-004753,acad-20230227.htm,acad-ex99_1.htm,1,10-K,2023-02-28,0000950170-23-004757,acad-20221231.htm,1,1,True,True,True,,ready
2023Q1,ACCO,712034,ok,1,2023-02-23,0000950170-23-004135,acco-20230223.htm,acco-ex99_1.htm,1,10-K,2023-02-24,0000950170-23-004360,acco-20221231.htm,1,1,True,True,True,,ready
2023Q1,ACDC,0001881487,ok,1,2023-03-21,0000950170-23-008842,acdc-20230321.htm,acdc-ex99_1.htm;acdc-ex99_2.htm,2,10-K,2023-03-30,0000950170-23-010960,acdc-20221231.htm,1,2,True,True,True,,ready
2023Q1,ACGL,947484,ok,1,2023-02-13,0000947484-23-000005,acgl-20230213.htm,ex-991release123122.htm;ex-992supplement123122.htm,2,10-K,2023-02-24,0000947484-23-000015,acgl-20221231.htm,1,2,True,True,True,,ready
2023Q1,ACH,75252,ok,1,2023-02-28,0000075252-23-000004,omi-20230228.htm,a4q228kprearnings.htm;omi_4q22supplementalearn.htm,2,10-K,2023-02-28,0000075252-23-000010,omi-20221231.htm,1,2,True,True,True,,ready
2023Q1,ACIW,935036,ok,1,2023-03-01,0000935036-23-000006,aciw-20230301.htm,aciw-20230301ex991.htm;aciw-20230301_ex992.htm,2,10-K,2023-03-01,0000935036-23-000009,aciw-20221231.htm,1,2,True,True,True,,ready
2023Q1,ACLS,1113232,ok,1,2023-02-08,0001104659-23-014531,tm235597d1_8k.htm,tm235597d1_ex99-1.htm,1,10-K,2023-02-24,0001558370-23-002006,acls-20221231x10k.htm,1,1,True,True,True,,ready
2023Q1,ACT,1823529,ok,1,2023-02-06,0001823529-23-000007,act-20230206.htm,a4q22earningsrelease.htm,1,10-K,2023-02-28,0001823529-23-000035,act-20221231.htm,1,1,True,True,True,,ready
2023Q1,ACVA,1637873,ok,1,2023-02-22,0000950170-23-003752,acva-20230222.htm,acva-ex99_1.htm,1,10-K,2023-03-01,0000950170-23-005445,acva-20221231.htm,1,1,True,True,True,,ready
2023Q1,ADBE,796343,ok,1,2023-03-15,0000796343-23-000044,adbe-20230315.htm,adbeex991q123.htm,1,10-Q,2023-03-29,0000796343-23-000055,adbe-20230303.htm,1,1,True,True,True,,ready
2023Q1,ADEA,1803696,ok,1,2023-02-22,0000950170-23-003763,adea-20230222.htm,adea-ex99_1.htm,1,10-K,2023-03-01,0000950170-23-005437,adea-20221231.htm,1,1,True,True,True,,ready
2023Q1,ADI,6281,ok,1,2023-02-15,0000006281-23-000029,adi-20230214.htm,adi1q23exhibit992earnings.htm,1,10-Q,2023-02-15,0000006281-23-000031,adi-20230128.htm,1,1,True,True,True,,ready
2023Q1,ADNT,1670541,ok,1,2023-02-07,0001670541-23-000048,adnt-20230207.htm,a02072023adientform8-kex991.htm,1,10-Q,2023-02-07,0001670541-23-000050,adnt-20221231.htm,1,1,True,True,True,,ready
2023Q1,ADSK,769397,ok,1,2023-02-23,0000769397-23-000022,adsk-20230223.htm,q423pressrelease.htm,1,10-K,2023-03-14,0000769397-23-000036,adsk-20230131.htm,1,1,True,True,True,,ready
2023Q1,ADTN,926282,ok,1,2023-02-21,0000950170-23-003277,adtn-20230221.htm,adtn-ex99_1.htm,1,10-K,2023-03-01,0000950170-23-005536,adtn-20221231.htm,1,1,True,True,True,,ready
2023Q1,ADUS,1468328,ok,1,2023-02-27,0001193125-23-050924,d245790d8k.htm,d245790dex991.htm,1,10-K,2023-02-28,0000950170-23-005160,adus-20221231.htm,1,1,True,True,True,,ready
2023Q1,ADV,1776661,ok,1,2023-03-01,0000950170-23-005513,adv-20230301.htm,adv-ex99_1.htm;adv-ex99_2.htm,2,10-K,2023-03-01,0000950170-23-005522,adv-20221231.htm,1,2,True,True,True,,ready
2023Q1,AEE,1002910,ok,1,2023-02-15,0001002910-23-000051,aee-20230215.htm,q42022ex991earningsrelease.htm;q42022ex992earningsrelease.htm,2,10-K,2023-02-22,0001002910-23-000053,aee-20221231.htm,1,2,True,True,True,,ready
2023Q1,AEIS,927003,ok,1,2023-02-08,0001558370-23-001022,aeis-20230208x8k.htm,aeis-20230208xex99d1.htm,1,10-K,2023-02-17,0001558370-23-001498,aeis-20221231x10k.htm,1,1,True,True,True,,ready
2023Q1,AEO,919012,ok,1,2023-03-01,0000950170-23-005566,aeo-20230301.htm,aeo-ex99_1.htm,1,10-K,2023-03-13,0000950170-23-007604,aeo-20230128.htm,1,1,True,True,True,,ready
2023Q1,AEP,4904,ok,1,2023-02-23,0000004904-23-000009,aep-20230223.htm,a4q20228kpressreleaseex991.htm,1,10-K,2023-02-23,0000004904-23-000011,aep-20221231.htm,1,1,True,True,True,,ready
2023Q1,AES,874761,ok,1,2023-02-27,0000874761-23-000004,aes-20230227.htm,q42022earningsreleaseexs.htm,1,10-K,2023-03-01,0000874761-23-000010,aes-20221231.htm,1,1,True,True,True,,ready
2023Q1,AESI,0001984060,ok,0,,,,,0,,,,,0,0,False,False,False,,missing_8k_item_202;missing_10q_10k_before_or_in_qtr;earnings_docs_not_ready;periodic_doc_not_ready
2023Q1,AFL,4977,ok,1,2023-02-01,0000004977-23-000011,afl-20230201.htm,aflex991-q42022.htm;aflex993maxteleconferences.htm;aflex994-q42022.htm,3,10-K,2023-02-24,0000004977-23-000055,afl-20221231.htm,1,2,True,True,True,earnings_exhibit:earnings_exhibit_too_short;earnings_exhibit:exhibit_not_earnings_like,ready
2023Q1,AFRM,1820953,ok,1,2023-02-08,0001820953-23-000001,afrm-20230208.htm,shareholderletterdatedfe.htm,1,10-Q,2023-02-08,0001820953-23-000002,afrm-20221231.htm,1,1,True,True,True,,ready
2023Q1,AGX,100591,ok,0,,,,,0,10-Q,2022-12-07,0001558370-22-018450,agx-20221031x10q.htm,0,0,True,False,True,,missing_8k_item_202;earnings_docs_not_ready
2023Q1,AGYS,78749,ok,1,2023-01-24,0000950170-23-001083,agys-20230124.htm,agys-ex99_1.htm,1,10-Q,2023-01-26,0000950170-23-001217,agys-20221231.htm,1,1,True,True,True,,ready
2023Q1,AHCO,1725255,ok,2,2023-01-11;2023-02-27,0001104659-23-002853;0001628280-23-005273,tm233016d1_8k.htm;ahco-20230227.htm,tm233016d1_ex99-1.htm;ahco-20230227x8k_ex991.htm,2,10-K,2023-02-28,0001628280-23-005590,ahco-20221231.htm,2,2,True,True,True,,ready
2023Q1,AHR,1632970,ok,0,,,,,0,10-K,2023-03-17,0001632970-23-000029,ahr-20221231.htm,0,0,True,False,True,,missing_8k_item_202;earnings_docs_not_ready
2023Q1,AHRT,1569187,ok,1,2023-02-14,0001569187-23-000002,ahh-20230214.htm,ex992_ahhq42022supplemen.htm;ex993_2023guidancedeck.htm;q4_2022ex991earningsrelease.htm,3,10-K,2023-02-23,0001569187-23-000010,ahh-20221231.htm,1,3,True,True,True,,ready
2023Q1,AI,1577526,ok,1,2023-03-02,0001628280-23-006047,ai-20230224.htm,ex991-fy23xq3earnings.htm;exhibit992.htm,2,10-Q,2023-03-03,0001628280-23-006164,ai-20230131.htm,1,1,True,True,True,earnings_exhibit:exhibit_not_earnings_like,ready
2023Q1,AIOT,1774170,ok,1,2023-03-09,0001493152-23-007066,form8-k.htm,ex99-1.htm;ex99-2.htm,2,10-K,2023-03-31,0001493152-23-010426,form10-k.htm,1,2,True,True,True,,ready
2023Q1,AJG,354190,ok,1,2023-01-26,0001193125-23-016262,d369508d8k.htm,d369508dex991.htm,1,10-K,2023-02-10,0000950170-23-002456,ajg-20221231.htm,1,1,True,True,True,,ready
2023Q1,AKAM,1086222,ok,1,2023-02-14,0001086222-23-000041,akam-20230214.htm,exhibit991-q42022.htm,1,10-K,2023-02-28,0001086222-23-000078,akam-20221231.htm,1,1,True,True,True,,ready
2023Q1,ALB,915913,ok,2,2023-01-24;2023-02-15,0000915913-23-000022;0000915913-23-000035,alb-20230123.htm;alb-20230215.htm,investordayannouncementex9.htm;a4q22earningsreleaseex991.htm,2,10-K,2023-02-15,0000915913-23-000039,alb-20221231.htm,2,2,True,True,True,,ready
2023Q1,ALG,897077,ok,1,2023-02-23,0000897077-23-000008,alg-20230223.htm,ex991q42022.htm,1,10-K,2023-02-23,0000897077-23-000009,alg-20221231.htm,1,1,True,True,True,,ready
2023Q1,ALGM,866291,ok,1,2023-01-31,0000866291-23-000003,algm-20230131.htm,earningsreleaseq3fy23.htm,1,10-Q,2023-02-01,0000866291-23-000006,algm-20221223.htm,1,1,True,True,True,,ready
2023Q1,ALGN,1097149,ok,1,2023-02-01,0001097149-23-000005,algn-20230201.htm,algn-q422earningspressrele.htm,1,10-K,2023-02-27,0001097149-23-000013,algn-20221231.htm,1,1,True,True,True,,ready
2023Q1,ALGT,1362468,ok,1,2023-02-01,0001362468-23-000005,algt-20230201.htm,a2022q48-kex991.htm,1,10-K,2023-02-27,0001362468-23-000014,algt-20221231.htm,1,1,True,True,True,,ready
2023Q1,ALKS,1520262,ok,1,2023-02-16,0001564590-23-001975,alks-8k_20230216.htm,alks-ex991_7.htm;alks-ex992_6.htm,2,10-K,2023-02-16,0001564590-23-002020,alks-10k_20221231.htm,1,2,True,True,True,,ready
2023Q1,ALLE,1579241,ok,1,2023-02-22,0001579241-23-000004,alle-20230222.htm,exhibit991-pressreleasedat.htm,1,10-K,2023-02-22,0001579241-23-000006,alle-20221231.htm,1,1,True,True,True,,ready
2023Q1,ALRM,1459200,ok,1,2023-02-23,0001459200-23-000003,alrm-20230223.htm,ex991earningsreleasedecemb.htm,1,10-K,2023-02-24,0001459200-23-000006,alrm-20221231.htm,1,1,True,True,True,,ready
