quarter,ticker,cik,metadata_status,item_202_8k_count,item_202_event_dates,item_202_accessions,primary_8k_docs,earnings_exhibit_docs,earnings_exhibit_doc_count,latest_periodic_form,latest_periodic_filing_date,latest_periodic_accession,latest_periodic_doc,primary_8k_cached_count,earnings_exhibit_cached_count,periodic_cached,ready_for_earnings_extraction,ready_for_periodic_extraction,quality_fail_reasons,audit_reasons,elapsed_seconds
2023Q4,A,1090872,ok,1,2023-11-20,0001090872-23-000018,a-20231120.htm,exhibit991-q423pressrelease.htm,1,10-K,2023-12-20,0001090872-23-000020,a-20231031.htm,1,1,True,True,True,,ready,1.68
2023Q4,AAP,1158449,ok,1,2023-11-15,0001158449-23-000237,aap-20231115.htm,aap_exhibit991xq3x2023.htm,1,10-Q,2023-11-21,0001158449-23-000243,aap-20231007.htm,1,1,True,True,True,,ready,1.46
2023Q4,AAT,1500217,ok,1,2023-10-24,0001500217-23-000068,aat-20231024.htm,a3q23earningsreleaseng.htm,1,10-Q,2023-10-27,0001500217-23-000071,aat-20230930.htm,1,1,True,True,True,,ready,0.70
2023Q4,ABG,1144980,ok,2,2023-10-24;2023-10-25,0001144980-23-000122;0001144980-23-000124,abg-20231020.htm;abg-20231024.htm,a2023q3ex991.htm;ex991-transcript.htm,2,10-Q,2023-10-27,0001144980-23-000127,abg-20230930.htm,2,2,True,True,True,,ready,2.49
2023Q4,ABM,771497,ok,1,2023-12-13,0000950170-23-069873,abm-20231213.htm,abm-ex99_1.htm,1,10-K,2023-12-18,0000771497-23-000025,abm-20231031.htm,1,1,True,True,True,,ready,1.64
2023Q4,ABNB,1559720,ok,1,2023-11-01,0001193125-23-268164,d481318d8k.htm,d481318dex991.htm,1,10-Q,2023-11-01,0001559720-23-000020,abnb-20230930.htm,1,1,True,True,True,,ready,1.39
2023Q4,ACA,1739445,ok,1,2023-11-01,0001739445-23-000145,aca-20231101.htm,exh991earningsrelease09302.htm,1,10-Q,2023-11-02,0001739445-23-000147,aca-20230930.htm,1,1,True,True,True,,ready,0.72
2023Q4,ACAD,1070494,ok,1,2023-11-02,0000950170-23-058254,acad-20231102.htm,acad-ex99_1.htm,1,10-Q,2023-11-03,0000950170-23-058436,acad-20230930.htm,1,1,True,True,True,,ready,1.93
2023Q4,ACCO,712034,ok,1,2023-11-02,0000950170-23-058219,acco-20231102.htm,acco-ex99_1.htm,1,10-Q,2023-11-03,0000950170-23-058591,acco-20230930.htm,1,1,True,True,True,,ready,2.54
2023Q4,ACDC,0001881487,ok,1,2023-11-09,0000950170-23-061559,acdc-20231109.htm,acdc-ex99_1.htm,1,10-Q,2023-11-09,0000950170-23-062012,acdc-20230930.htm,1,1,True,True,True,,ready,0.81
2023Q4,ACGL,947484,ok,1,2023-10-30,0000947484-23-000093,acgl-20231030.htm,ex-991release93023.htm;ex-992supplement93023.htm,2,10-Q,2023-11-09,0000947484-23-000102,acgl-20230930.htm,1,2,True,True,True,,ready,2.01
