quarter,ticker,cik,metadata_status,has_10q_10k_before_or_in_qtr,latest_10q_10k_form,latest_10q_10k_filing_date,latest_10q_10k_accession,item_202_8k_count_in_qtr,item_202_8k_with_ex99_count,item_202_8k_dates,item_202_8k_accessions,ex99_1_documents,passes_metadata_gate,metadata_gate_reason
2024Q3,ABSI,1672688,ok,True,10-Q,2024-08-14,0001628280-24-037193,1,1,2024-08-14,0001628280-24-037183,exhibit991-2024q210xqpr.htm;generalcorporatepresenta.htm,True,included
2024Q3,ABT,1800,ok,True,10-Q,2024-07-31,0001628280-24-033740,1,0,2024-07-18,0001628280-24-032182,,False,missing_ex99_1_for_item_202
2024Q3,ABTC,1755953,ok,True,10-Q,2024-08-14,0001213900-24-068996,1,1,2024-08-14,0001213900-24-069074,ea021125101ex99-1_gryphon.htm,True,included
2024Q3,ABUS,1447028,ok,True,10-Q,2024-08-08,0001447028-24-000072,1,0,2024-08-01,0001171843-24-004324,,False,missing_ex99_1_for_item_202
2024Q3,ABX,1814287,ok,True,10-Q,2024-08-12,0001814287-24-000051,2,2,2024-07-18;2024-08-12,0001814287-24-000047;0001814287-24-000050,exhibit991_q22024xjuly2024.htm;exhibit991ablpressrelease0.htm,True,included
2024Q3,ACA,1739445,ok,True,10-Q,2024-08-02,0001739445-24-000114,1,1,2024-08-01,0001739445-24-000111,exh991earningsrelease63020.htm,True,included
2024Q3,ACAD,1070494,ok,True,10-Q,2024-08-07,0000950170-24-092163,1,1,2024-08-06,0000950170-24-091826,acad-ex99_1.htm,True,included
2024Q3,ACCO,712034,ok,True,10-Q,2024-08-02,0000950170-24-089733,1,1,2024-08-01,0000950170-24-089332,acco-ex99_1.htm,True,included
2024Q3,ACDC,0001881487,ok,True,10-Q,2024-08-09,0000950170-24-094812,1,1,2024-08-08,0001104659-24-086919,tm2421111d1_ex99-1.htm,True,included
2024Q3,ACEL,1698991,ok,True,10-Q,2024-07-30,0001698991-24-000037,1,1,2024-07-30,0001698991-24-000036,accel2q24resultspresenta.htm;q22024earningspressrelease.htm,True,included
2024Q3,ACGL,947484,ok,True,10-Q,2024-08-06,0000947484-24-000105,1,1,2024-07-30,0000947484-24-000091,ex-991release63024.htm;ex-992supplement63024.htm,True,included
2024Q3,ACH,75252,ok,True,10-Q,2024-08-02,0001558370-24-010720,2,2,2024-07-23;2024-08-02,0001193125-24-182567;0001558370-24-010644,d857019dex991.htm;tmb-20240802xex99d1.htm;tmb-20240802xex99d2.htm,True,included
2024Q3,ACHC,1520697,ok,True,10-Q,2024-08-01,0000950170-24-089248,1,0,2024-07-31,0001437749-24-024148,,False,missing_ex99_1_for_item_202
2024Q3,ACHV,949858,ok,True,10-Q,2024-08-13,0000950170-24-096193,1,1,2024-08-13,0000950170-24-096171,achv-ex99_1.htm,True,included
2024Q3,ACIC,1401521,ok,True,10-Q,2024-08-08,0001401521-24-000099,1,1,2024-08-07,0001401521-24-000097,earningspresentation-q22.htm,True,included
2024Q3,ACIW,935036,ok,True,10-Q,2024-08-01,0000935036-24-000030,1,1,2024-08-01,0000935036-24-000032,aciw-20240801_ex992.htm,True,included
2024Q3,ACLS,1113232,ok,True,10-Q,2024-08-01,0001558370-24-010589,2,2,2024-07-09;2024-07-31,0001104659-24-078460;0001104659-24-084348,tm2419004d1_ex99-1.htm;tm2419004d1_ex99-1img001.gif;tm2419004d1_ex99-1img003.gif;tm2420392d1_ex99-1.htm,True,included
2024Q3,ACLX,0001786205,ok,True,10-Q,2024-08-08,0000950170-24-094120,1,1,2024-08-08,0001193125-24-197017,d874563dex991.htm,True,included
2024Q3,ACMR,1680062,ok,True,10-Q,2024-08-07,0001680062-24-000016,1,1,2024-08-07,0001140361-24-036019,ef20033630_ex99-1.htm,True,included
2024Q3,ACN,1467373,ok,True,10-Q,2024-06-20,0001467373-24-000196,1,0,2024-09-26,0001467373-24-000266,,False,missing_ex99_1_for_item_202
2024Q3,ACON,0001635077,ok,True,10-Q,2024-08-14,0001683168-24-005682,0,0,,,,False,missing_8k_item_202_in_qtr
2024Q3,ACRE,1529377,ok,True,10-Q,2024-08-06,0001628280-24-034916,1,1,2024-08-06,0001628280-24-034915,acreq2-24exhibit991.htm;acreq2-24exhibit992.htm,True,included
2024Q3,ACT,1823529,ok,True,10-Q,2024-08-02,0001823529-24-000160,1,1,2024-07-31,0001823529-24-000157,a2q24earningsrelease.htm,True,included
2024Q3,ACTG,934549,ok,True,10-Q,2024-08-08,0000934549-24-000063,1,1,2024-08-08,0000934549-24-000061,actg-20240630xex991.htm,True,included
2024Q3,ACU,2098,ok,True,10-Q,2024-08-08,0000950170-24-094048,2,2,2024-07-19;2024-07-22,0000950170-24-084785;0000950170-24-085000,acu-ex99_1.htm;acu-ex99_1.htm,True,included
2024Q3,ACVA,1637873,ok,True,10-Q,2024-08-07,0001628280-24-035701,1,1,2024-08-07,0001628280-24-035624,q2-24earningspressrelease.htm,True,included
2024Q3,ADBE,796343,ok,True,10-Q,2024-09-25,0000796343-24-000208,1,1,2024-09-12,0000796343-24-000200,adbeex991q324.htm,True,included
2024Q3,ADCT,1771910,ok,True,10-Q,2024-08-06,0001628280-24-034999,1,1,2024-08-06,0001628280-24-034975,adct-20240630pressrelease.htm,True,included
2024Q3,ADEA,1803696,ok,True,10-Q,2024-08-07,0000950170-24-092744,1,1,2024-08-06,0000950170-24-091759,adea-ex99_1.htm,True,included
2024Q3,ADI,6281,ok,True,10-Q,2024-08-21,0000006281-24-000159,1,1,2024-08-21,0000006281-24-000158,adi3q24exhibit991earnings.htm,True,included
2024Q3,ADM,7084,ok,True,10-Q,2024-07-30,0000007084-24-000026,1,1,2024-07-30,0000007084-24-000024,adm-ex991_2024630xq2.htm,True,included
2024Q3,ADMA,1368514,ok,True,10-Q,2024-08-08,0001140361-24-036432,1,1,2024-08-08,0001140361-24-036399,ef20033774_ex99-1.htm,True,included
2024Q3,ADNT,1670541,ok,True,10-Q,2024-08-06,0001670541-24-000098,1,1,2024-08-06,0001670541-24-000095,a08062024adientform8-kex991.htm,True,included
2024Q3,ADP,8670,ok,True,10-K,2024-08-07,0000008670-24-000024,1,1,2024-07-31,0000008670-24-000017,q4fy24exhibit99.htm,True,included
2024Q3,ADPT,1478320,ok,True,10-Q,2024-08-01,0000950170-24-089342,1,1,2024-08-01,0000950170-24-089301,adpt-ex99_1.htm,True,included
2024Q3,ADSK,769397,ok,True,10-Q,2024-09-03,0000769397-24-000150,1,1,2024-08-29,0000769397-24-000147,q225pressrelease.htm,True,included
2024Q3,ADTN,926282,ok,True,10-Q,2024-08-09,0000950170-24-094602,1,1,2024-08-06,0000950170-24-091207,adtn-ex99_1.htm;adtn-ex99_2.htm,True,included
2024Q3,ADUS,1468328,ok,True,10-Q,2024-08-06,0000950170-24-091763,1,1,2024-08-05,0001193125-24-193948,d881333dex991.htm,True,included
2024Q3,ADV,1776661,ok,True,10-Q,2024-08-09,0000950170-24-094741,1,1,2024-08-07,0000950170-24-092266,adv-ex99_1.htm;adv-ex99_2.htm,True,included
2024Q3,AEE,1002910,ok,True,10-Q,2024-08-05,0001002910-24-000101,1,1,2024-08-01,0001002910-24-000098,q22024ex991earningsrelease.htm;q22024ex992earningsrelease.htm,True,included
2024Q3,AEHR,1040470,ok,True,10-K,2024-07-30,0001654954-24-009642,2,2,2024-07-09;2024-07-16,0001654954-24-008746;0001654954-24-009013,aehr_ex991.htm;aehr_ex991.htm,True,included
2024Q3,AEIS,927003,ok,True,10-Q,2024-07-30,0001558370-24-010375,1,1,2024-07-30,0001558370-24-010373,aeis-20240730xex99d1.htm,True,included
2024Q3,AEMD,882291,ok,True,10-Q,2024-08-14,0001683168-24-005708,1,1,2024-08-14,0001683168-24-005697,aethlon_ex9901.htm,True,included
2024Q3,AEO,919012,ok,True,10-Q,2024-08-29,0000950170-24-101854,1,1,2024-08-29,0000950170-24-101592,aeo-ex99_1.htm,True,included
2024Q3,AEP,4904,ok,True,10-Q,2024-07-30,0000004904-24-000081,1,1,2024-07-30,0000004904-24-000080,a2q20248kpressreleaseex991.htm,True,included
2024Q3,AES,874761,ok,True,10-Q,2024-08-01,0000874761-24-000054,1,1,2024-08-01,0000874761-24-000056,q22024earningsreleaseexs.htm,True,included
2024Q3,AESI,0001984060,ok,True,10-Q,2024-08-06,0000950170-24-091945,1,1,2024-08-05,0000950170-24-090850,aesi-ex99_1.htm,True,included
2024Q3,AEVA,1789029,ok,True,10-Q,2024-08-08,0000950170-24-094209,1,1,2024-08-07,0000950170-24-092781,aeva-ex99_1.htm,True,included
2024Q3,AEYE,1362190,ok,True,10-Q,2024-07-29,0001410578-24-001118,2,2,2024-07-25;2024-09-30,0001104659-24-082635;0001104659-24-103953,tm2419951d1_ex99-1.htm;tm2423575d1_ex99-1.htm,True,included
2024Q3,AFCG,1822523,ok,True,10-Q,2024-08-07,0001822523-24-000037,1,1,2024-08-07,0001822523-24-000038,afcg-20240807xex991afcgear.htm,True,included
2024Q3,AFL,4977,ok,True,10-Q,2024-08-01,0000004977-24-000140,1,1,2024-07-31,0000004977-24-000138,aflex991-q22024.htm;aflex993teleconferencespee.htm,True,included
2024Q3,AFRM,1820953,ok,True,10-K,2024-08-28,0001820953-24-000035,1,1,2024-08-28,0001820953-24-000033,afrm-q424shareholderlett.htm,True,included
2024Q3,AGEN,1098972,ok,True,10-Q,2024-08-08,0000950170-24-093937,1,1,2024-08-08,0001193125-24-197046,d800799dex991.htm;d800799dex992.htm,True,included
2024Q3,AGIO,1439222,ok,True,10-Q,2024-08-01,0001439222-24-000121,1,1,2024-08-01,0001439222-24-000117,agio-080124xex991earningsr.htm,True,included
2024Q3,AGL,1831097,ok,True,10-Q,2024-08-06,0001628280-24-035179,1,0,2024-08-06,0001628280-24-035171,,False,missing_ex99_1_for_item_202
2024Q3,AGPU,1446159,ok,True,10-Q,2024-08-13,0001171843-24-004757,1,0,2024-08-14,0001171843-24-004775,,False,missing_ex99_1_for_item_202
2024Q3,AGX,100591,ok,True,10-Q,2024-09-05,0001558370-24-012611,1,1,2024-09-05,0001558370-24-012610,agx-20240905xex99d1.htm,True,included
2024Q3,AGYS,78749,ok,True,10-Q,2024-07-26,0000950170-24-086879,1,1,2024-07-22,0000950170-24-085249,agys-ex99_1.htm,True,included
2024Q3,AHCO,1725255,ok,True,10-Q,2024-08-06,0001628280-24-035235,1,1,2024-08-06,0001628280-24-034954,ahco-20240806x8k_ex991.htm,True,included
2024Q3,AHR,1632970,ok,True,10-Q,2024-08-09,0001632970-24-000085,1,1,2024-08-05,0001632970-24-000076,exhibit991q22024earningsre.htm;exhibit992q22024suppleme.htm,True,included
2024Q3,AHRT,1569187,ok,True,10-Q,2024-08-07,0001569187-24-000119,1,1,2024-08-07,0001569187-24-000117,ahh2024q2ex991earningsrele.htm;ex992_q22024supplemental.htm,True,included
2024Q3,AI,1577526,ok,True,10-Q,2024-09-05,0001628280-24-039467,1,1,2024-09-04,0001628280-24-039310,ex991-fy25xq1earnings.htm,True,included
2024Q3,AIG,5272,ok,True,10-Q,2024-08-01,0000005272-24-000079,1,1,2024-07-31,0000005272-24-000075,q22024earningsrelease.htm,True,included
2024Q3,AIMD,1014763,ok,True,10-Q,2024-08-05,0001493152-24-030251,1,1,2024-08-05,0001493152-24-030263,ex99-1.htm,True,included
2024Q3,AIN,819793,ok,True,10-Q,2024-08-06,0000819793-24-000051,1,0,2024-08-06,0000819793-24-000050,,False,missing_ex99_1_for_item_202
2024Q3,AIOT,1774170,ok,True,10-Q,2024-08-28,0001628280-24-038616,2,2,2024-08-05;2024-08-22,0001493152-24-030281;0001493152-24-033495,ex99-1.htm;ex99-1.htm,True,included
2024Q3,AIP,1667011,ok,True,10-Q,2024-08-01,0001667011-24-000026,1,1,2024-08-01,0001667011-24-000024,exhibit991q2fy248-k.htm,True,included
2024Q3,AIR,1750,ok,True,10-Q,2024-09-24,0001410578-24-001617,2,2,2024-07-18;2024-09-23,0001104659-24-080853;0001104659-24-102051,tm2419476d1_ex99-1.htm;tm2419476d1_ex99-2.htm;tm2424484d1_ex99-1.htm;tm2424484d1_ex99-2.htm,True,included
2024Q3,AISP,1842566,ok,True,10-Q,2024-08-14,0001654954-24-010635,1,1,2024-08-15,0001654954-24-010685,airsp_ex991.htm,True,included
2024Q3,AIZ,1267238,ok,True,10-Q,2024-08-08,0001267238-24-000037,2,1,2024-07-15;2024-08-06,0001267238-24-000033;0001267238-24-000035,aiz-20240630exx991pressrel.htm,True,included
2024Q3,AJG,354190,ok,True,10-Q,2024-07-26,0000950170-24-086937,1,1,2024-07-25,0001193125-24-184856,d841953dex991.htm;d841953dex992.htm,True,included
2024Q3,AKAM,1086222,ok,True,10-Q,2024-08-08,0001086222-24-000199,1,1,2024-08-08,0001086222-24-000197,exhibit991-q22024.htm,True,included
2024Q3,AKR,899629,ok,True,10-Q,2024-07-31,0000950170-24-088594,1,1,2024-07-30,0000950170-24-087873,akr-ex99_1.htm;akr-ex99_2.htm,True,included
2024Q3,ALAB,0001736297,ok,True,10-Q,2024-08-07,0001736297-24-000018,1,1,2024-08-06,0001736297-24-000016,q224exhibit991.htm,True,included
2024Q3,ALB,915913,ok,True,10-Q,2024-07-31,0000915913-24-000139,1,1,2024-07-31,0000915913-24-000137,a2q24earningsreleaseex991.htm,True,included
2024Q3,ALBT,1630212,ok,True,10-Q,2024-08-19,0001213900-24-070762,0,0,,,,False,missing_8k_item_202_in_qtr
2024Q3,ALCO,3545,ok,True,10-Q,2024-08-05,0000003545-24-000099,1,0,2024-08-05,0000003545-24-000097,,False,missing_ex99_1_for_item_202
2024Q3,ALEC,1653087,ok,True,10-Q,2024-08-07,0000950170-24-092814,1,1,2024-08-07,0000950170-24-092779,alec-ex99_1.htm,True,included
2024Q3,ALEX,1545654,ok,True,10-Q,2024-07-26,0001545654-24-000024,1,1,2024-07-25,0001545654-24-000022,q22024earningsrelease.htm,True,included
2024Q3,ALG,897077,ok,True,10-Q,2024-07-31,0000897077-24-000096,1,1,2024-07-31,0000897077-24-000095,ex991q22024.htm,True,included
2024Q3,ALGM,866291,ok,True,10-Q,2024-08-02,0000950170-24-089610,2,2,2024-07-23;2024-08-01,0000950103-24-010519;0000950170-24-088944,dp214872_ex9901.htm;algm-ex99_1.htm,True,included
