quarter,asof_date,ticker,cik,entity_name,revenue_bucket,revenue_filter_keep_under_10b,revenue_value,revenue_fact_name,revenue_unit,revenue_filed,revenue_form,revenue_period_end,net_income_value,net_income_fact_name,net_income_unit,net_income_filed,net_income_form,net_income_period_end,assets_value,assets_fact_name,assets_unit,assets_filed,assets_form,assets_period_end,financing_cash_flow_value,financing_cash_flow_fact_name,financing_cash_flow_unit,financing_cash_flow_filed,financing_cash_flow_form,financing_cash_flow_period_end,investing_cash_flow_value,investing_cash_flow_fact_name,investing_cash_flow_unit,investing_cash_flow_filed,investing_cash_flow_form,investing_cash_flow_period_end,operating_cash_flow_value,operating_cash_flow_fact_name,operating_cash_flow_unit,operating_cash_flow_filed,operating_cash_flow_form,operating_cash_flow_period_end,universal_feature_set,universal_feature_complete,universal_feature_complete_through_eps,missing_universal_features,net_income_margin,operating_cash_flow_to_revenue,assets_to_revenue,financing_cash_flow_to_revenue,investing_cash_flow_to_revenue
2025Q3,2025-08-27,A,1090872,"AGILENT TECHNOLOGIES, INC.",$2B-$10B,,3231000000,RevenueFromContractWithCustomerExcludingAssessedTax,USD,2025-06-02,10-Q,2024-04-30,656000000,NetIncomeLoss,USD,2025-06-02,10-Q,2024-04-30,11846000000,Assets,USD,2025-06-02,10-Q,2024-10-31,-531000000,NetCashProvidedByUsedInFinancingActivities,USD,2025-06-02,10-Q,2024-04-30,-204000000,NetCashProvidedByUsedInInvestingActivities,USD,2025-06-02,10-Q,2024-04-30,818000000,NetCashProvidedByUsedInOperatingActivities,USD,2025-06-02,10-Q,2024-04-30,through_ocf,True,,,0.203033,0.253172,3.666357,-0.164345,-0.063138
2025Q3,2025-07-24,AAP,1158449,"Advance Auto Parts, Inc.",$2B-$10B,,2772000000,RevenueFromContractWithCustomerExcludingAssessedTax,USD,2025-05-22,10-Q,2024-04-20,40000000,NetIncomeLoss,USD,2025-05-22,10-Q,2024-04-20,10798000000,Assets,USD,2025-05-22,10-Q,2024-12-28,-25000000,NetCashProvidedByUsedInFinancingActivities,USD,2025-05-22,10-Q,2024-04-20,-39000000,NetCashProvidedByUsedInInvestingActivities,USD,2025-05-22,10-Q,2024-04-20,3000000,NetCashProvidedByUsedInOperatingActivities,USD,2025-05-22,10-Q,2024-04-20,through_ocf,True,,,0.01443,0.001082,3.895382,-0.009019,-0.014069
2025Q3,2025-07-29,AAT,1500217,"AMERICAN ASSETS TRUST, INC.",$100M-$500M,,110695000,Revenues,USD,2025-05-02,10-Q,2024-03-31,24623000,ProfitLoss,USD,2025-05-02,10-Q,2024-03-31,3273365000,Assets,USD,2025-05-02,10-Q,2024-12-31,-25821000,NetCashProvidedByUsedInFinancingActivities,USD,2025-05-02,10-Q,2024-03-31,-13292000,NetCashProvidedByUsedInInvestingActivities,USD,2025-05-02,10-Q,2024-03-31,54778000,NetCashProvidedByUsedInOperatingActivities,USD,2025-05-02,10-Q,2024-03-31,through_ocf,True,,,0.22244,0.494855,29.571029,-0.233263,-0.120078
2025Q3,2025-07-29,ABG,1144980,"ASBURY AUTOMOTIVE GROUP, INC",$2B-$10B,,4201200000,Revenues,USD,2025-04-30,10-Q,2024-03-31,147100000,NetIncomeLoss,USD,2025-04-30,10-Q,2024-03-31,10337000000,Assets,USD,2025-04-30,10-Q,2024-12-31,-180200000,NetCashProvidedByUsedInFinancingActivities,USD,2025-04-30,10-Q,2024-03-31,-13600000,NetCashProvidedByUsedInInvestingActivities,USD,2025-04-30,10-Q,2024-03-31,177100000,NetCashProvidedByUsedInOperatingActivities,USD,2025-04-30,10-Q,2024-03-31,through_ocf,True,,,0.035014,0.042155,2.460487,-0.042893,-0.003237
2025Q3,2025-09-05,ABM,771497,ABM INDUSTRIES INCORPORATED,$2B-$10B,,6182000000,RevenueFromContractWithCustomerExcludingAssessedTax,USD,2025-09-05,10-Q,2024-07-31,93100000,NetIncomeLoss,USD,2025-09-05,10-Q,2024-07-31,5097200000,Assets,USD,2025-09-05,10-Q,2024-10-31,-23000000,NetCashProvidedByUsedInFinancingActivities,USD,2025-09-05,10-Q,2024-07-31,-157900000,NetCashProvidedByUsedInInvestingActivities,USD,2025-09-05,10-Q,2024-07-31,196300000,NetCashProvidedByUsedInOperatingActivities,USD,2025-09-05,10-Q,2024-07-31,through_ocf,True,,,0.01506,0.031753,0.824523,-0.00372,-0.025542
2025Q3,2025-08-06,ABNB,1559720,"Airbnb, Inc.",$2B-$10B,,4890000000,RevenueFromContractWithCustomerExcludingAssessedTax,USD,2025-08-06,10-Q,2024-06-30,264000000,NetIncomeLoss,USD,2025-08-06,10-Q,2024-03-31,20959000000,Assets,USD,2025-08-06,10-Q,2024-12-31,2945000000,NetCashProvidedByUsedInFinancingActivities,USD,2025-08-06,10-Q,2024-06-30,-194000000,NetCashProvidedByUsedInInvestingActivities,USD,2025-08-06,10-Q,2024-06-30,2974000000,NetCashProvidedByUsedInOperatingActivities,USD,2025-08-06,10-Q,2024-06-30,through_ocf,True,,,0.053988,0.60818,4.286094,0.602249,-0.039673
2025Q3,2025-08-07,ACA,1739445,"Arcosa, Inc.",$500M-$1B,,598600000,Revenues,USD,2025-05-07,10-Q,2024-03-31,39200000,NetIncomeLoss,USD,2025-05-07,10-Q,2024-03-31,3668100000,Assets,USD,2025-05-07,10-Q,2024-03-31,34700000,NetCashProvidedByUsedInFinancingActivities,USD,2025-05-07,10-Q,2024-03-31,-43500000,NetCashProvidedByUsedInInvestingActivities,USD,2025-05-07,10-Q,2024-03-31,80500000,NetCashProvidedByUsedInOperatingActivities,USD,2025-05-07,10-Q,2024-03-31,through_ocf,True,,,0.065486,0.13448,6.127798,0.057969,-0.07267
2025Q3,2025-08-06,ACAD,1070494,Acadia Pharmaceuticals Inc.,$100M-$500M,,205831000,RevenueFromContractWithCustomerExcludingAssessedTax,USD,2025-05-08,10-Q,2024-03-31,16555000,NetIncomeLoss,USD,2025-05-08,10-Q,2024-03-31,1187756000,Assets,USD,2025-05-08,10-Q,2024-12-31,1043000,NetCashProvidedByUsedInFinancingActivities,USD,2025-05-08,10-Q,2024-03-31,-14039000,NetCashProvidedByUsedInInvestingActivities,USD,2025-05-08,10-Q,2024-03-31,29079000,NetCashProvidedByUsedInOperatingActivities,USD,2025-05-08,10-Q,2024-03-31,through_ocf,True,,,0.08043,0.141276,5.77054,0.005067,-0.068206
2025Q3,2025-07-31,ACCO,712034,ACCO Brands Corporation,$100M-$500M,,358900000,Revenues,USD,2025-05-02,10-Q,2024-03-31,-6300000,NetIncomeLoss,USD,2025-05-02,10-Q,2024-03-31,2228400000,Assets,USD,2025-05-02,10-Q,2024-12-31,33200000,NetCashProvidedByUsedInFinancingActivities,USD,2025-05-02,10-Q,2024-03-31,-2300000,NetCashProvidedByUsedInInvestingActivities,USD,2025-05-02,10-Q,2024-03-31,28200000,NetCashProvidedByUsedInOperatingActivities,USD,2025-05-02,10-Q,2024-03-31,through_ocf,True,,,-0.017554,0.078573,6.208972,0.092505,-0.006408
2025Q3,2025-08-07,ACDC,0001881487,ProFrac Holding Corp.,$1B-$2B,,1160900000,RevenueFromContractWithCustomerExcludingAssessedTax,USD,2025-08-07,10-Q,2024-06-30,-64900000,NetIncomeLoss,USD,2025-08-07,10-Q,2024-06-30,2988100000,Assets,USD,2025-08-07,10-Q,2024-12-31,90900000,NetCashProvidedByUsedInFinancingActivities,USD,2025-08-07,10-Q,2024-06-30,-284800000,NetCashProvidedByUsedInInvestingActivities,USD,2025-08-07,10-Q,2024-06-30,192600000,NetCashProvidedByUsedInOperatingActivities,USD,2025-08-07,10-Q,2024-06-30,through_ocf,True,,,-0.055905,0.165906,2.573951,0.078301,-0.245327
